 time                   v(fout)                v(vref)                i(vdd)                 i(vdd12)               v(xt2f.cap1)           v(xt2f.cap2)           v(xt2f.ca1)            v(xt2f.tail1)          v(xt2f.cb1)            v(xt2f.ca2)            v(xt2f.tail2)          v(xt2f.cb2)           
 0.000000000000000e+00  4.663374872183298e-06  1.027552222216802e+00 -7.252461384113547e-05 -7.237195797644913e-09  7.870760383722053e-08  8.159232358082272e-08  1.199607837239222e+00  4.189748740275063e-01  1.445831147279433e+00  1.195946739149545e+00  4.253902961085700e-01  1.447873091889976e+00 
 5.000000000000000e-11  4.663374871785486e-06  1.027552222216793e+00 -7.252461384112684e-05 -7.237195812907388e-09  7.870760336819671e-08  8.159232358527283e-08  1.199607837239292e+00  4.189748740274666e-01  1.445831147279416e+00  1.195946739149585e+00  4.253902961085121e-01  1.447873091889981e+00 
 1.000000000000000e-10  4.663374871537343e-06  1.027552222216772e+00 -7.252461384106482e-05 -7.237195831089327e-09  7.870760311952280e-08  8.159232336348189e-08  1.199607837239357e+00  4.189748740274138e-01  1.445831147279407e+00  1.195946739149564e+00  4.253902961084517e-01  1.447873091889937e+00 
 2.000000000000000e-10  4.663374870927132e-06  1.027552222216722e+00 -7.252461384142827e-05 -7.237195874318270e-09  7.870760290855348e-08  8.159232321716032e-08  1.199607837239335e+00  4.189748740272974e-01  1.445831147279218e+00  1.195946739149473e+00  4.253902961083465e-01  1.447873091889817e+00 
 4.000000000000000e-10  4.663374872009297e-06  1.027552222216689e+00 -7.252461384169442e-05 -7.237195874603528e-09  7.870760248143905e-08  8.159232342978932e-08  1.199607837239448e+00  4.189748740271085e-01  1.445831147278947e+00  1.195946739149385e+00  4.253902961081826e-01  1.447873091889891e+00 
 8.000000000000000e-10  4.663374872560812e-06  1.027552222216525e+00 -7.252461384112025e-05 -7.237195862332760e-09  7.870760193857359e-08  8.159232357765561e-08  1.199607837239364e+00  4.189748740266322e-01  1.445831147278827e+00  1.195946739149351e+00  4.253902961077428e-01  1.447873091890051e+00 
 1.600000000000000e-09  4.663374872726114e-06  1.027552222216251e+00 -7.252461384098095e-05 -7.237195842490620e-09  7.870760148771121e-08  8.159232149737618e-08  1.199607837238487e+00  4.189748740257535e-01  1.445831147277854e+00  1.195946739148297e+00  4.253902961069297e-01  1.447873091888925e+00 
 3.200000000000000e-09  4.663374872200729e-06  1.027552222216074e+00 -7.252461384168538e-05 -7.237195783984028e-09  7.870760169401797e-08  8.159232070517824e-08  1.199607837237474e+00  4.189748740244727e-01  1.445831147276995e+00  1.195946739147487e+00  4.253902961059136e-01  1.447873091887209e+00 
 6.400000000000000e-09  4.663374872111074e-06  1.027552222216979e+00 -7.252461384160034e-05 -7.237195857986929e-09  7.870760313039665e-08  8.159232326731760e-08  1.199607837237467e+00  4.189748740235646e-01  1.445831147276212e+00  1.195946739147760e+00  4.253902961053341e-01  1.447873091886575e+00 
 1.140000000000000e-08  4.663374872326009e-06  1.027552222219041e+00 -7.252461384191542e-05 -7.237195942440045e-09  7.870760454275437e-08  8.159232449085300e-08  1.199607837237067e+00  4.189748740235615e-01  1.445831147276151e+00  1.195946739147353e+00  4.253902961056253e-01  1.447873091887089e+00 
 1.640000000000000e-08  4.663374872418277e-06  1.027552222221201e+00 -7.252461384137252e-05 -7.237195745837214e-09  7.870760566158739e-08  8.159232521121736e-08  1.199607837240616e+00  4.189748740243169e-01  1.445831147280911e+00  1.195946739150552e+00  4.253902961065945e-01  1.447873091890590e+00 
 2.140000000000000e-08  4.663374872225387e-06  1.027552222223067e+00 -7.252461384160336e-05 -7.237195814054165e-09  7.870760503425043e-08  8.159232480242883e-08  1.199607837244992e+00  4.189748740252726e-01  1.445831147285475e+00  1.195946739154901e+00  4.253902961076887e-01  1.447873091895136e+00 
 2.640000000000000e-08  4.663374872311644e-06  1.027552222222919e+00 -7.252461384174029e-05 -7.237195774451845e-09  7.870760330059462e-08  8.159232274748066e-08  1.199607837244836e+00  4.189748740245918e-01  1.445831147286053e+00  1.195946739154634e+00  4.253902961070634e-01  1.447873091894866e+00 
 3.140000000000000e-08  4.663374872228587e-06  1.027552222222844e+00 -7.252461384182153e-05 -7.237195785658607e-09  7.870760326656739e-08  8.159232309019775e-08  1.199607837244290e+00  4.189748740241890e-01  1.445831147285696e+00  1.195946739153991e+00  4.253902961067358e-01  1.447873091894233e+00 
 3.640000000000000e-08  4.663374872244872e-06  1.027552222222972e+00 -7.252461384159299e-05 -7.237195803596410e-09  7.870760384464438e-08  8.159232381072215e-08  1.199607837244746e+00  4.189748740241537e-01  1.445831147286072e+00  1.195946739154705e+00  4.253902961066927e-01  1.447873091895391e+00 
