
Note: No compatibility mode selected!


Circuit: * p1_noise_gen corrected noise testbench

Doing analysis at TEMP = 27.000000 and TNOM = 27.000000

Using SPARSE 1.3 as Direct Linear Solver

No. of Data Rows : 1
Doing analysis at TEMP = 27.000000 and TNOM = 27.000000

Using SPARSE 1.3 as Direct Linear Solver

No. of Data Rows : 54

No. of Data Rows : 1
                    * p1_noise_gen corrected noise testbench
                    Noise Spectral Density Curves  Mon Jul 27 15:57:30  2026
--------------------------------------------------------------------------------
Index   frequency       onoise_spectrum inoise_spectrum 
--------------------------------------------------------------------------------
0	1.000000e+05	3.592179e-08	2.623894e-09	
1	1.258925e+05	3.579966e-08	2.614964e-09	
2	1.584893e+05	3.570236e-08	2.607845e-09	
3	1.995262e+05	3.562492e-08	2.602169e-09	
4	2.511886e+05	3.556334e-08	2.597641e-09	
5	3.162278e+05	3.551444e-08	2.594020e-09	
6	3.981072e+05	3.547568e-08	2.591113e-09	
7	5.011872e+05	3.544507e-08	2.588756e-09	
8	6.309573e+05	3.542108e-08	2.586812e-09	
9	7.943282e+05	3.540254e-08	2.585155e-09	
10	1.000000e+06	3.538864e-08	2.583661e-09	
11	1.258925e+06	3.537892e-08	2.582196e-09	
12	1.584893e+06	3.537327e-08	2.580594e-09	
13	1.995262e+06	3.537201e-08	2.578641e-09	
14	2.511886e+06	3.537604e-08	2.576035e-09	
15	3.162278e+06	3.538693e-08	2.572360e-09	
16	3.981072e+06	3.540716e-08	2.567047e-09	
17	5.011872e+06	3.544013e-08	2.559379e-09	
18	6.309573e+06	3.548997e-08	2.548562e-09	
19	7.943282e+06	3.556056e-08	2.533955e-09	
20	1.000000e+07	3.565371e-08	2.515451e-09	
21	1.258925e+07	3.576676e-08	2.493874e-09	
22	1.584893e+07	3.589133e-08	2.471046e-09	
23	1.995262e+07	3.601498e-08	2.449260e-09	
24	2.511886e+07	3.612572e-08	2.430425e-09	
25	3.162278e+07	3.621615e-08	2.415486e-09	
26	3.981072e+07	3.628459e-08	2.404426e-09	
27	5.011872e+07	3.633345e-08	2.396649e-09	
28	6.309573e+07	3.636690e-08	2.391375e-09	
29	7.943282e+07	3.638912e-08	2.387887e-09	
30	1.000000e+08	3.640359e-08	2.385617e-09	
31	1.258925e+08	3.641286e-08	2.384155e-09	
32	1.584893e+08	3.641870e-08	2.383220e-09	
33	1.995262e+08	3.642231e-08	2.382624e-09	
34	2.511886e+08	3.642442e-08	2.382245e-09	
35	3.162278e+08	3.642550e-08	2.382004e-09	
36	3.981072e+08	3.642578e-08	2.381852e-09	
37	5.011872e+08	3.642533e-08	2.381755e-09	
38	6.309573e+08	3.642404e-08	2.381694e-09	
39	7.943282e+08	3.642166e-08	2.381655e-09	
40	1.000000e+09	3.641767e-08	2.381631e-09	
41	1.258925e+09	3.641121e-08	2.381616e-09	
42	1.584893e+09	3.640091e-08	2.381608e-09	
43	1.995262e+09	3.638456e-08	2.381605e-09	
44	2.511886e+09	3.635869e-08	2.381606e-09	
45	3.162278e+09	3.631784e-08	2.381611e-09	
46	3.981072e+09	3.625354e-08	2.381623e-09	
47	5.011872e+09	3.615268e-08	2.381642e-09	
48	6.309573e+09	3.599538e-08	2.381673e-09	
49	7.943282e+09	3.575202e-08	2.381721e-09	
50	1.000000e+10	3.537982e-08	2.381797e-09	
51	1.258925e+10	3.481941e-08	2.381911e-09	
52	1.584893e+10	3.399320e-08	2.382086e-09	
53	1.995262e+10	3.280914e-08	2.382351e-09	
ngspice-46 done
