equation	nterms	b_hex	x_hex	fsum_ax_hex	naive_ax_hex	residual_hex	residual_dec	scale_hex	scale_dec	norm_residual	|fsum-decimal|
13	4	0x1.f8e00e049c2b3p-36	-0x1.a8d766635c6eep-8	0x1.f8e00e410c400p-36	0x1.f8e00e410c400p-36	0x1.e380a68000000p-63	2.04771290979758279e-19	0x1.ab5807cb03210p-7	1.30414999057615610e-02	1.570151e-17	1.256930e-19
14	13	0x1.4e6f9a4c2bd50p-2	0x1.0c3cc249f7f0ap+8	0x1.4e6f9a4c2bd51p-2	0x1.4e6f9a4c2bd51p-2	0x1.0000000000000p-54	5.55111512312578270e-17	0x1.59dedd30d9a3ap-1	6.75528442586091460e-01	8.217441e-17	0.000000e+00
15	23	-0x1.632eddbea1413p-11	0x1.a96cb5feecfe7p-2	-0x1.632eddbea198fp-11	-0x1.632eddbea198fp-11	-0x1.5f00000000000p-53	-1.52221985016964823e-16	0x1.f8d9010cdd84ap-4	1.23253826239165282e-01	1.235028e-15	2.493665e-18
16	22	0x1.4d4883cfe2186p-10	-0x1.447a72d0e35ffp-1	0x1.4d4883cfe219bp-10	0x1.4d4883cfe219bp-10	0x1.5000000000000p-58	4.55364912443911862e-18	0x1.210578682637ep-3	1.41123715093978974e-01	3.226707e-17	3.035766e-18
17	4	0x1.66363e841527cp-30	-0x1.c9b01e4aafd60p-8	0x1.66363e82285dap-30	0x1.66363e82285dap-30	-0x1.ecca200000000p-62	-4.17408985574364890e-19	0x1.aa89aa919d8cbp-8	6.50844969060510991e-03	6.413340e-17	1.187385e-19
18	13	0x1.9a4c387db446dp-9	0x1.1567075450513p+5	0x1.9a4c387db446ap-9	0x1.9a4c387db446ap-9	-0x1.8000000000000p-60	-1.30104260698260532e-18	0x1.0069f109440ffp-4	6.26010337330207139e-02	2.078309e-17	0.000000e+00
19	25	-0x1.632eddbea0e75p-11	0x1.a96cb5feee2e8p-2	-0x1.632eddbea0e54p-11	-0x1.632eddbea0e54p-11	0x1.0800000000000p-58	3.57786716920216463e-18	0x1.f8d9010cdef63p-4	1.23253826239247341e-01	2.902845e-17	2.059984e-18
20	4	0x1.66363e841527cp-30	-0x1.c9b01e4aafd75p-8	0x1.66363e8028531p-30	0x1.66363e8028531p-30	-0x1.f66a580000000p-61	-8.51124802949447029e-19	0x1.aa89aa919d8dep-8	6.50844969060512639e-03	1.307723e-16	2.694059e-19
21	13	0x1.9a4c387db3f61p-9	0x1.156707545021dp+5	0x1.9a4c387db3f5ep-9	0x1.9a4c387db3f5ep-9	-0x1.8000000000000p-60	-1.30104260698260532e-18	0x1.0069f10943e28p-4	6.26010337330106248e-02	2.078309e-17	8.673617e-19
22	10	-0x1.11e8d767d0137p-9	0x1.3333333333333p+0	-0x1.11e8d767d0143p-9	-0x1.11e8d767d0143p-9	-0x1.8000000000000p-58	-5.20417042793042128e-18	0x1.26f682ab93246p-3	1.44024868832632602e-01	3.613383e-17	2.602085e-18
