equation	nterms	b_hex	x_hex	fsum_ax_hex	naive_ax_hex	residual_hex	residual_dec	scale_hex	scale_dec	norm_residual	|fsum-decimal|
94	4	-0x1.4e4afc0bc47d3p-20	-0x1.64fbe7549f097p-5	-0x1.4e4afc0bc39c5p-20	-0x1.4e4afc0bc39c5p-20	0x1.c1c0000000000p-61	7.61906136055243155e-19	0x1.62856b817f8dep-4	8.65530204245916479e-02	8.802768e-18	4.752490e-18
95	13	0x1.7bca715ff6604p-15	0x1.3cf70b52767c5p-4	0x1.7bca715ff66acp-15	0x1.7bca715ff66acp-15	0x1.5000000000000p-60	1.13841228110977966e-18	0x1.d41d49d83db53p-7	1.42857180185111173e-02	7.968884e-17	8.131516e-20
96	8	0x0.0p+0	0x0.0p+0	0x0.0p+0	0x0.0p+0	0x0.0p+0	0.00000000000000000e+00	0x0.0p+0	0.00000000000000000e+00	0.000000e+00	0.000000e+00
97	3	0x0.0p+0	0x0.0p+0	0x0.0p+0	0x0.0p+0	0x0.0p+0	0.00000000000000000e+00	0x0.0p+0	0.00000000000000000e+00	0.000000e+00	0.000000e+00
98	6	-0x1.2da6171ef3af9p-14	-0x1.229312fe28e20p-11	-0x1.2da6171ef3b1cp-14	-0x1.2da6171ef3b1cp-14	-0x1.1800000000000p-61	-4.74338450462408190e-19	0x1.f6757483aa413p-9	3.83345649045852823e-03	1.237365e-16	9.486769e-20
99	4	-0x1.7c7f59bd2d0b6p-32	-0x1.a8d3e58a8d1eap-8	-0x1.7c7f59bb36f40p-32	-0x1.7c7f59bb36f40p-32	0x1.f617600000000p-64	1.06321970227233120e-19	0x1.7357d40629a25p-7	1.13324914239685912e-02	9.382047e-18	2.054939e-20
100	13	0x1.4322d5214a7cfp-5	-0x1.6cdd6aab26570p+9	0x1.4322d5214a813p-5	0x1.4322d5214a813p-5	0x1.1000000000000p-51	4.71844785465691530e-16	0x1.1066945a83c2ap+2	4.25626095618557976e+00	1.108590e-16	2.359224e-16
101	8	0x0.0p+0	0x0.0p+0	0x0.0p+0	0x0.0p+0	0x0.0p+0	0.00000000000000000e+00	0x0.0p+0	0.00000000000000000e+00	0.000000e+00	0.000000e+00
102	10	0x1.5ad776cc4e443p-14	0x1.fe82d8b1f49fdp+7	0x1.5ad776ce7ba95p-14	0x1.5ad776ce7ba95p-14	0x1.16b2900000000p-45	3.09416392247491290e-14	0x1.001cce482fb2ap+8	2.56112522613186798e+02	1.208127e-16	1.321255e-14
103	11	-0x1.0aa97033386cbp-22	0x1.6f0edc92ff1b4p+0	-0x1.0aa97032dffccp-22	-0x1.0aa97032dffccp-22	0x1.61bfc00000000p-56	1.91767729862781563e-17	0x1.9a1c686be0436p-1	8.00997985046825844e-01	2.394110e-17	8.586902e-18
104	10	-0x1.052326fa871dap-5	0x1.034488c593b3ep-7	-0x1.052326fa871dap-5	-0x1.052326fa871dap-5	0x0.0p+0	0.00000000000000000e+00	0x1.ec17e7c7200aep-4	1.20139985448988823e-01	0.000000e+00	0.000000e+00
105	10	0x1.7bdd1dde4d3efp-32	-0x1.a8d3b704cf7b9p-8	0x1.7bdd1dd515974p-32	0x1.7bdd1dd515974p-32	-0x1.26f4f60000000p-61	-4.99676388492191111e-19	0x1.72defd0372dd3p-7	1.13180861871090884e-02	4.414849e-17	4.769239e-19
106	5	0x1.05574a36135a1p-5	0x1.fe82e5f0dbfaep+7	0x1.05574a36136f7p-5	0x1.05574a36136f7p-5	0x1.5600000000000p-49	2.37310171513627211e-15	0x1.db1ddf0657ebfp+5	5.93895855422574570e+01	3.995821e-17	2.275957e-15
107	7	0x1.bd14bed12e97ep-41	0x1.fe82d8b1e58f0p+7	0x1.b56a3af32fb6fp-41	0x1.b56a3af32fb6fp-41	-0x1.eaa0f77fb83c0p-47	-1.36176841062813839e-14	0x1.1675ea8f9d4f2p+7	1.39230305183365601e+02	9.780690e-17	2.158238e-15
108	6	0x1.a8755072ff022p-15	0x1.6f330700b5817p+0	0x1.a8755072ff59dp-15	0x1.a8755072ff59dp-15	0x1.5ec0000000000p-57	9.50709779998226701e-18	0x1.ecd1e85c6ca4ep-3	2.40634742088860099e-01	3.950842e-17	1.101820e-17
109	11	-0x1.33fba240f7082p-23	-0x1.804c370c78a7dp+4	-0x1.33fba257af977p-23	-0x1.33fba257af977p-23	-0x1.6b88f50000000p-51	-6.30632678722196070e-16	0x1.025e20df196b2p+4	1.61479805674377488e+01	3.905335e-17	6.386698e-16
110	10	-0x1.337c743f8f112p-16	0x1.6efc2f3f7a075p+0	-0x1.337c743f8fbc3p-16	-0x1.337c743f8fbc3p-16	-0x1.5620000000000p-57	-9.27331670654008011e-18	0x1.16e980a1a937ep-1	5.44750232442865245e-01	1.702306e-17	9.354632e-18
111	9	0x1.868c03d03f878p-21	-0x1.a90b33f18a166p-13	0x1.868c03d03f872p-21	0x1.868c03d03f872p-21	-0x1.8000000000000p-71	-6.35274710440725254e-22	0x1.ea3aef85be493p-15	5.84399959233174418e-05	1.087055e-17	0.000000e+00
112	10	0x1.257d0567e6990p-19	-0x1.6569752a81850p-5	0x1.257d0567e4e0ap-19	0x1.257d0567e4e0ap-19	-0x1.b860000000000p-59	-2.98409707317690009e-18	0x1.62742db9c0877p-4	8.65365778118148826e-02	3.448365e-17	4.643011e-18
113	5	-0x1.42ad3b6970ef3p-26	-0x1.804c27d87fbd6p+4	-0x1.42ad3b197e0a8p-26	-0x1.42ad3b197e0a8p-26	0x1.3fcb92c000000p-52	2.77378127391549498e-16	0x1.dca5fe69d57aap+1	3.72381572883292211e+00	7.448761e-17	4.764261e-17
114	7	-0x1.f9eee536c7846p-21	-0x1.804b050c52203p+4	-0x1.f9eee53032333p-21	-0x1.f9eee53032333p-21	0x1.a5544c0000000p-51	7.30889801230040406e-16	0x1.177d43ac23f2dp+3	8.73404105778862494e+00	8.368289e-17	2.067860e-16
115	6	0x1.fa6a0fe7ce7d8p-17	0x1.6d615d13edbabp+0	0x1.fa6a0fe7ceb59p-17	0x1.fa6a0fe7ceb59p-17	0x1.c080000000000p-60	1.51957710737421481e-18	0x1.1094883063011p-3	1.33095802284856762e-01	1.141717e-17	1.792322e-18
116	10	0x1.c140d0492445cp-16	0x1.352e0380837aap+0	0x1.c140d04922f9fp-16	0x1.c140d04922f9fp-16	-0x1.4bd0000000000p-56	-1.79875916678923220e-17	0x1.9ce10072fd6f7p-3	2.01601031789031743e-01	8.922371e-17	1.378970e-18
117	10	-0x1.e2b513fc298f4p-18	0x1.6eef4f9733099p+0	-0x1.e2b513fc2bcccp-18	-0x1.e2b513fc2bcccp-18	-0x1.1ec0000000000p-57	-7.77237432400545991e-18	0x1.33de90f6db5c8p-3	1.50326855214571120e-01	5.170317e-17	4.251258e-18
118	9	-0x1.a67358c7becc9p-7	0x1.55f9c9bbc27c6p-2	-0x1.a67358c7becc8p-7	-0x1.a67358c7becc8p-7	0x1.0000000000000p-59	1.73472347597680709e-18	0x1.fa74054b65653p-5	6.18229010971559564e-02	2.805956e-17	0.000000e+00
119	10	0x1.bc4d070e79e31p-34	-0x1.a8d768dcdba0bp-8	0x1.bc4d072d7c684p-34	0x1.bc4d072d7c684p-34	0x1.f028530000000p-62	4.20261763485998357e-19	0x1.6b1966e4874f1p-7	1.10809090047560860e-02	3.792665e-17	9.990720e-20
120	5	0x1.a6e26f7139d23p-7	0x1.f8507f7c112b1p-1	0x1.a6e26f7139d24p-7	0x1.a6e26f7139d24p-7	0x1.0000000000000p-59	1.73472347597680709e-18	0x1.57e05770aa2a5p-4	8.39541831616182482e-02	2.066274e-17	1.734723e-18
121	7	-0x1.eb7928f7fb000p-46	0x1.352e0380801d6p+0	-0x1.eb54677bbd9acp-46	-0x1.eb54677bbd9acp-46	0x1.260be1eb2a000p-57	7.97014407581787820e-18	0x1.c1b74aea50370p-4	1.09793942106092279e-01	7.259184e-17	1.458874e-19
122	6	0x1.0cfcd1d36a933p-15	0x1.6eca7ea601850p+0	0x1.0cfcd1d36a7a4p-15	0x1.0cfcd1d36a7a4p-15	-0x1.8f00000000000p-59	-2.70372916763572668e-18	0x1.95bb34c6775f0p-5	4.95277434126640825e-02	5.459019e-17	5.963112e-19
123	10	0x1.4615eb7dc0a7cp-15	0x1.fa122f8efb262p-5	0x1.4615eb7dc37bdp-15	0x1.4615eb7dc37bdp-15	0x1.6a08000000000p-54	7.85030135515285554e-17	0x1.08a5d4d1718e8p-4	6.46112740715555356e-02	1.215005e-15	1.436568e-18
124	11	0x1.48e32ebda99f1p-5	0x1.6fff7c8e33463p+0	0x1.48e32ebda99f1p-5	0x1.48e32ebda99f1p-5	0x0.0p+0	0.00000000000000000e+00	0x1.ded88bc6f16e9p-2	4.67622932450793061e-01	0.000000e+00	0.000000e+00
125	10	-0x1.d40e55f6f0d5ap-4	0x1.0a36d57f94e6bp-1	-0x1.d40e55f6f0d56p-4	-0x1.d40e55f6f0d56p-4	0x1.0000000000000p-54	5.55111512312578270e-17	0x1.f9ebefaf807a2p-2	4.94064087950500164e-01	1.123562e-16	1.387779e-17
126	10	0x1.90d3f09ba01d2p-22	-0x1.99ffea9a19881p-8	0x1.90d3f09ba14cdp-22	0x1.90d3f09ba14cdp-22	0x1.2fb0000000000p-62	2.57233318169290334e-19	0x1.09c927e376c94p-7	8.11113784486953288e-03	3.171359e-17	3.157315e-19
127	5	0x1.d32dadcd596bep-4	-0x1.2acf6f86c2756p-2	0x1.d32dadcd596c0p-4	0x1.d32dadcd596c0p-4	0x1.0000000000000p-55	2.77555756156289135e-17	0x1.a45e35dacaeeap-2	4.10515634039923527e-01	6.761149e-17	1.387779e-17
128	7	-0x1.9151cb1128b36p-22	0x1.fa0c6a942b79fp-5	-0x1.9151cb112b97dp-22	-0x1.9151cb112b97dp-22	-0x1.7238000000000p-61	-6.27174957882606007e-19	0x1.140a70663fd59p-6	1.68481919909003498e-02	3.722506e-17	7.168016e-19
129	6	-0x1.3f6d0aef3704ep-5	0x1.7e5164907247ap+0	-0x1.3f6d0aef3704ep-5	-0x1.3f6d0aef3704ep-5	0x0.0p+0	0.00000000000000000e+00	0x1.cab25be84058ep-3	2.23973005318879037e-01	0.000000e+00	0.000000e+00
130	11	0x1.4615eb7dc044dp-15	0x1.fa122f8eff600p-5	0x1.4615eb7dbc607p-15	0x1.4615eb7dbc607p-15	-0x1.f230000000000p-54	-1.08027193961024448e-16	0x1.08a5d4d1725efp-4	6.46112740716018180e-02	1.671956e-15	2.412350e-18
131	10	0x1.48e32ebda9ba7p-5	0x1.6fff7c8e33466p+0	0x1.48e32ebda9ba6p-5	0x1.48e32ebda9ba6p-5	-0x1.0000000000000p-57	-6.93889390390722838e-18	0x1.ded88bc6f1711p-2	4.67622932450795281e-01	1.483865e-17	6.938894e-18
132	9	-0x1.d40e55f6f0e14p-4	0x1.0a36d57f94e86p-1	-0x1.d40e55f6f0e14p-4	-0x1.d40e55f6f0e14p-4	0x0.0p+0	0.00000000000000000e+00	0x1.f9ebefaf8085bp-2	4.94064087950510433e-01	0.000000e+00	0.000000e+00
133	10	0x1.90d3f09ba0ae8p-22	-0x1.99ffea9a197ddp-8	0x1.90d3f09ba0c97p-22	0x1.90d3f09ba0c97p-22	0x1.af00000000000p-66	2.28169500166627154e-20	0x1.09c927e376be7p-7	8.11113784486923277e-03	2.813039e-18	3.209725e-19
134	5	0x1.d32dadcd59776p-4	-0x1.2acf6f86c1f25p-2	0x1.d32dadcd59775p-4	0x1.d32dadcd59775p-4	-0x1.0000000000000p-56	-1.38777878078144568e-17	0x1.a45e35dacaf92p-2	4.10515634039932853e-01	3.380575e-17	1.387779e-17
135	7	-0x1.9151cb112944ep-22	0x1.fa0c6a942fb3dp-5	-0x1.9151cb112bab9p-22	-0x1.9151cb112bab9p-22	-0x1.3358000000000p-61	-5.20660564765377740e-19	0x1.140a70664223bp-6	1.68481919909331083e-02	3.090305e-17	8.285570e-19
136	6	-0x1.3f6d0aef371f9p-5	0x1.7e51649072485p+0	-0x1.3f6d0aef371f8p-5	-0x1.3f6d0aef371f8p-5	0x1.0000000000000p-57	6.93889390390722838e-18	0x1.cab25be840625p-3	2.23973005318883228e-01	3.098094e-17	6.938894e-18
137	7	0x1.74a2a96a10957p-15	0x1.4ca15b9f1824dp+0	0x1.74a2a96a10bc9p-15	0x1.74a2a96a10bc9p-15	0x1.3900000000000p-58	4.24194099984953610e-18	0x1.b384f1a80bceap-3	2.12655914250240941e-01	1.994744e-17	3.286488e-18
138	10	-0x1.5071bf9d87f3cp-10	0x1.37ec7af6f0d23p+1	-0x1.5071bf9d87ea0p-10	-0x1.5071bf9d87ea0p-10	0x1.3800000000000p-55	3.38271077815477383e-17	0x1.0889f7585c0b3p-2	2.58338799255407980e-01	1.309409e-16	8.673617e-18
139	6	-0x1.ec60a13f27268p-6	0x1.de9613df67938p-1	-0x1.ec60a13f27261p-6	-0x1.ec60a13f27261p-6	0x1.c000000000000p-56	2.42861286636752993e-17	0x1.b84bfb4b873ecp-3	2.14988673441353639e-01	1.129647e-16	1.040834e-17
140	8	-0x1.a065a740e6177p-20	-0x1.e6ce4015c77a3p-8	-0x1.a065a740e5baep-20	-0x1.a065a740e5baep-20	0x1.7240000000000p-62	3.13613948720904701e-19	0x1.c336d2bc24133p-8	6.88498158355370631e-03	4.555044e-17	1.863472e-20
141	9	0x1.f132ef2f60d61p-6	0x1.ff8c503cfb444p-3	0x1.f132ef2f60d58p-6	0x1.f132ef2f60d58p-6	-0x1.2000000000000p-55	-3.12250225675825277e-17	0x1.78b9783bcaa21p-3	1.83947505306904652e-01	1.697496e-16	6.938894e-18
142	8	0x1.96a8930534b16p-20	0x1.4ca4c70b71c7fp+0	0x1.96a89305270e5p-20	0x1.96a89305270e5p-20	-0x1.b462000000000p-57	-1.18281798336958635e-17	0x1.e3d88ba25f2f6p-4	1.18126435705516147e-01	1.001315e-16	6.856732e-19
143	9	0x1.917d05c54b918p-10	0x1.33fad96ea188fp+1	0x1.917d05c54b8e5p-10	0x1.917d05c54b8e5p-10	-0x1.9800000000000p-57	-1.10588621593521452e-17	0x1.1ff79ff5ac43bp-3	1.40609025654642256e-01	7.864973e-17	5.204170e-18
144	7	0x1.74a2a9686c0f7p-15	0x1.4ca15b9f1817ep+0	0x1.74a2a9686b8e2p-15	0x1.74a2a9686b8e2p-15	-0x1.02a0000000000p-56	-1.40200893429531792e-17	0x1.b384f1a80b113p-3	2.12655914250156813e-01	6.592852e-17	6.776264e-21
145	10	-0x1.5071bf9d8866ep-10	0x1.37ec7af6f101cp+1	-0x1.5071bf9d88667p-10	-0x1.5071bf9d88667p-10	0x1.c000000000000p-60	1.51788304147970621e-18	0x1.0889f7585c277p-2	2.58338799255433071e-01	5.875552e-18	4.770490e-18
146	6	-0x1.ec60a13f27694p-6	0x1.de9613df67faep-1	-0x1.ec60a13f27692p-6	-0x1.ec60a13f27692p-6	0x1.0000000000000p-57	6.93889390390722838e-18	0x1.b84bfb4b87c7ep-3	2.14988673441414535e-01	3.227563e-17	1.387779e-17
147	8	-0x1.a065a740e5a36p-20	-0x1.e6ce4015c8158p-8	-0x1.a065a740e5179p-20	-0x1.a065a740e5179p-20	0x1.17a0000000000p-61	4.73703175751967465e-19	0x1.c336d2bc24a2fp-8	6.88498158355570124e-03	6.880239e-17	4.023406e-20
148	9	0x1.f132ef2f61eaep-6	0x1.ff8c503cf1234p-3	0x1.f132ef2f61eaep-6	0x1.f132ef2f61eaep-6	0x0.0p+0	0.00000000000000000e+00	0x1.78b9783bcb472p-3	1.83947505306977954e-01	0.000000e+00	3.469447e-18
149	8	0x1.96a89305375f0p-20	0x1.4ca4c70b71bb3p+0	0x1.96a89305427a3p-20	0x1.96a89305427a3p-20	0x1.6366000000000p-57	9.63309395088634418e-18	0x1.e3d88ba25f1cap-4	1.18126435705511984e-01	8.154901e-17	2.422514e-19
150	9	0x1.917d05c54bfe3p-10	0x1.33fad96ea1ba9p+1	0x1.917d05c54c015p-10	0x1.917d05c54c015p-10	0x1.9000000000000p-57	1.08420217248550443e-17	0x1.1ff79ff5ac582p-3	1.40609025654651332e-01	7.710758e-17	4.119968e-18
151	9	0x1.3ebd0d39fd9c4p-10	-0x1.7caaf8f0c6e5bp-2	0x1.3ebd0d39fd9bcp-10	0x1.3ebd0d39fd9bcp-10	-0x1.0000000000000p-59	-1.73472347597680709e-18	0x1.f8ea05ca78ae1p-5	6.16350281814186454e-02	2.814509e-17	2.168404e-19
152	9	0x1.0647944e9b5dap-10	0x1.1c3908a1941d8p+0	0x1.0647944e9b5fep-10	0x1.0647944e9b5fep-10	0x1.2000000000000p-57	7.80625564189563192e-18	0x1.ad59b985a87e2p-3	2.09643792525695594e-01	3.723581e-17	5.421011e-18
153	9	-0x1.b39ddab976217p-10	0x1.fead8ae625f4cp+7	-0x1.b39ddab974c50p-10	-0x1.b39ddab974c50p-10	0x1.5c70000000000p-50	1.20888542232133744e-15	0x1.470459a4698cep+4	2.04385620519977280e+01	5.914728e-17	8.949005e-16
154	12	0x1.b54f1eddb8e36p-22	-0x1.c0a181aee0452p-8	0x1.b54f1eddb781ap-22	0x1.b54f1eddb781ap-22	-0x1.61c0000000000p-62	-2.99637905091208745e-19	0x1.17e5164d1e881p-7	8.54171360900957306e-03	3.507937e-17	3.859823e-19
155	5	-0x1.9a89393e2e2a8p-11	-0x1.1630395f61d72p-1	-0x1.9a89393e2e29ep-11	-0x1.9a89393e2e29ep-11	0x1.4000000000000p-60	1.08420217248550443e-18	0x1.12b6d2d25f475p-6	1.67672213369666930e-02	6.466201e-17	2.168404e-19
156	7	-0x1.b58e6a6b690d8p-22	-0x1.7ca5c0a25812ap-2	-0x1.b58e6a6b641f3p-22	-0x1.b58e6a6b641f3p-22	0x1.3b94000000000p-60	1.06922027723094400e-18	0x1.14db2bde3434fp-5	3.37959152981342978e-02	3.163756e-17	1.861884e-19
157	6	0x1.7b13f49a3d237p-15	-0x1.35930798ebe4bp+2	0x1.7b13f49a3ccd5p-15	0x1.7b13f49a3ccd5p-15	-0x1.5880000000000p-57	-9.33769121053140694e-18	0x1.1a11f33946730p-3	1.37729549584770350e-01	6.779730e-17	5.603970e-18
158	9	-0x1.ddf98de82ce4ap-7	-0x1.f1feed4e0a21ap-1	-0x1.ddf98de82ce43p-7	-0x1.ddf98de82ce43p-7	0x1.c000000000000p-57	1.21430643318376497e-17	0x1.49f4c6d52c7f5p-3	1.61111405735539087e-01	7.537061e-17	5.204170e-18
159	10	-0x1.bc3220dea3dbep-13	-0x1.4aff49f2afa2dp-6	-0x1.bc3220dea3db5p-13	-0x1.bc3220dea3db5p-13	0x1.2000000000000p-62	2.43945488809238498e-19	0x1.da5b686f4be49p-9	3.61905717695501896e-03	6.740581e-17	1.897354e-19
160	9	0x1.602b996adf9dcp-7	0x1.ff93da74b3ab9p+7	0x1.602b996adfd48p-7	0x1.602b996adfd48p-7	0x1.b600000000000p-50	1.51961776495568301e-15	0x1.643c2ca638e0ap+4	2.22646910183957871e+01	6.825236e-17	1.457168e-16
161	8	0x1.9d3be56cd413dp-14	0x1.d751143560d0cp-10	0x1.9d3be56cd4140p-14	0x1.9d3be56cd4140p-14	0x1.8000000000000p-65	4.06575814682064163e-20	0x1.070e07afea17cp-9	2.00694888913604923e-03	2.025840e-17	1.355253e-20
162	5	0x1.899db193f8654p-7	-0x1.05eab1bbdb997p+5	0x1.899db193f8652p-7	0x1.899db193f8652p-7	-0x1.0000000000000p-58	-3.46944695195361419e-18	0x1.79c66058338f7p-5	4.61151010255082469e-02	7.523451e-17	0.000000e+00
163	8	-0x1.9d4c36c66947cp-14	-0x1.f23a4ce35caefp-1	-0x1.9d4c36c6697cep-14	-0x1.9d4c36c6697cep-14	-0x1.a900000000000p-57	-1.15196480826584846e-17	0x1.6bc2c0f1db2f4p-4	8.88087784675908876e-02	1.297129e-16	4.363914e-18
164	6	-0x1.e6276908b92b8p-18	0x1.f7e72bf35074ep-4	-0x1.e6276908b9464p-18	-0x1.e6276908b9464p-18	-0x1.ac00000000000p-62	-3.62530101424840545e-19	0x1.5b64fb226adcfp-9	2.65040937047953491e-03	1.367827e-16	1.397604e-19
165	11	0x1.c8232e26d2c7ep-18	0x1.3b671a7f5cb61p+1	0x1.c8232e26d47adp-18	0x1.c8232e26d47adp-18	0x1.b2f0000000000p-58	5.89450227994267606e-18	0x1.a78b66c1fec25p-2	4.13617711630367701e-01	1.425109e-17	1.907264e-17
166	11	-0x1.90719ed6f7102p-12	0x1.c9f52a83fafb2p-2	-0x1.90719ed6f7115p-12	-0x1.90719ed6f7115p-12	-0x1.3000000000000p-60	-1.02999206386122921e-18	0x1.5914539d8ddfap-4	8.42479006031381650e-02	1.222573e-17	2.005774e-18
167	7	-0x1.29b2121022c66p-3	-0x1.46ee0cc8912aep-2	-0x1.29b2121022c66p-3	-0x1.29b2121022c66p-3	0x0.0p+0	0.00000000000000000e+00	0x1.4001fb659fdc0p-2	3.12507560804046847e-01	0.000000e+00	0.000000e+00
168	8	-0x1.f8749b17dcb49p-36	-0x1.a8d7970ab8278p-8	-0x1.f8749b7d5bca3p-36	-0x1.f8749b7d5bca3p-36	-0x1.95fc568000000p-62	-3.43883259681741743e-19	0x1.aa480aece1f04p-7	1.30090764375974180e-02	2.643410e-17	4.441987e-19
169	5	0x1.28d8dbbf07de6p-3	0x1.3ade057f54d20p+1	0x1.28d8dbbf07de6p-3	0x1.28d8dbbf07de6p-3	0x0.0p+0	0.00000000000000000e+00	0x1.89e83e413bbf8p-2	3.84674999934702111e-01	0.000000e+00	0.000000e+00
170	8	-0x1.f80c0033006c5p-48	0x1.3b671a7f2465fp+1	-0x1.f8b8ea8a507c6p-48	-0x1.f8b8ea8a507c6p-48	-0x1.59d4aea020200p-57	-9.37376233419968549e-18	0x1.cac483a203158p-3	2.24007633573260589e-01	4.184573e-17	1.168985e-18
171	6	0x1.9e3bf8ffa9b05p-11	0x1.cb960418fdd31p-2	0x1.9e3bf8ffa9b28p-11	0x1.9e3bf8ffa9b28p-11	0x1.1800000000000p-58	3.79470760369926552e-18	0x1.a094357c5f5fcp-5	5.08519215245364087e-02	7.462270e-17	8.673617e-19
172	11	0x1.c8232e2717490p-18	0x1.3b671a7f5c995p+1	0x1.c8232e27163adp-18	0x1.c8232e27163adp-18	-0x1.0e30000000000p-58	-3.66172343098034037e-18	0x1.a78b66c1fe856p-2	4.13617711630313578e-01	8.852917e-18	1.774703e-17
173	11	-0x1.90719ed6f5ee7p-12	0x1.c9f52a83fb8cep-2	-0x1.90719ed6f5ed6p-12	-0x1.90719ed6f5ed6p-12	0x1.1000000000000p-60	9.21571846612678769e-19	0x1.5914539d8dd87p-4	8.42479006031365690e-02	1.093881e-17	2.981556e-18
174	7	-0x1.29b2121021ee1p-3	-0x1.46ee0cc89064fp-2	-0x1.29b2121021ee2p-3	-0x1.29b2121021ee2p-3	-0x1.0000000000000p-55	-2.77555756156289135e-17	0x1.4001fb659f03cp-2	3.12507560803854778e-01	8.881569e-17	0.000000e+00
175	8	-0x1.f8749b17dc83cp-36	-0x1.a8d7970ab8276p-8	-0x1.f8749c7d7d663p-36	-0x1.f8749c7d7d663p-36	-0x1.65a0e27000000p-60	-1.21169233759164882e-18	0x1.aa480aece1efep-7	1.30090764375974076e-02	9.314207e-17	4.231673e-19
176	5	0x1.28d8dbbf07074p-3	0x1.3ade057f54a98p+1	0x1.28d8dbbf07074p-3	0x1.28d8dbbf07074p-3	0x0.0p+0	0.00000000000000000e+00	0x1.89e83e413ac94p-2	3.84674999934483397e-01	0.000000e+00	0.000000e+00
177	8	-0x1.f80c00330069bp-48	0x1.3b671a7f24493p+1	-0x1.f8b8ea8a7a2c8p-48	-0x1.f8b8ea8a7a2c8p-48	-0x1.59d4aef385a00p-57	-9.37376246893397266e-18	0x1.cac483a202ebbp-3	2.24007633573242021e-01	4.184573e-17	1.168985e-18
178	6	0x1.9e3bf8ffa7721p-11	0x1.cb960418fe63dp-2	0x1.9e3bf8ffa770ap-11	0x1.9e3bf8ffa770ap-11	-0x1.7000000000000p-59	-2.49366499671666020e-18	0x1.a094357c5ee67p-5	5.08519215245229403e-02	4.903777e-17	2.168404e-19
179	12	-0x1.610d2c79381d5p-13	0x1.379cf31a7085bp+1	-0x1.610d2c793817ep-13	-0x1.610d2c793817ep-13	0x1.5c00000000000p-59	2.35813972515597214e-18	0x1.96d06809d4c68p-2	3.97279382324262631e-01	5.935721e-18	1.929880e-17
180	11	-0x1.d64553b1f3bafp-19	0x1.a94e533302018p-2	-0x1.d64553b1f4151p-19	-0x1.d64553b1f4151p-19	-0x1.6880000000000p-61	-6.10710754970350544e-19	0x1.f2704f9a3b47ap-6	3.04222848289339223e-02	2.007445e-17	1.111307e-18
181	7	0x1.547e3f9e025a9p-11	-0x1.3d380e2c34e8bp-1	0x1.547e3f9e025b7p-11	0x1.547e3f9e025b7p-11	0x1.c000000000000p-60	1.51788304147970621e-18	0x1.c415702b4b761p-5	5.51860037615898927e-02	2.750486e-17	1.084202e-19
182	9	-0x1.9ee29e62f4f7cp-20	-0x1.c9d74bd7ba880p-8	-0x1.9ee29e62f5562p-20	-0x1.9ee29e62f5562p-20	-0x1.7980000000000p-62	-3.19754937588498378e-19	0x1.a86dc30460026p-8	6.47626887473510236e-03	4.937333e-17	1.528894e-19
183	5	0x1.9466649f9b314p-17	0x1.37b6b16ec3137p+1	0x1.9466649f9ab2ap-17	0x1.9466649f9ab2ap-17	-0x1.fa80000000000p-59	-3.43217750227442497e-18	0x1.7d3cb5122f435p-4	9.30754731261494578e-02	3.687521e-17	1.031686e-18
184	7	0x1.9ea7b9806599ap-20	0x1.379dda3cd5184p+1	0x1.9ea7b980612c4p-20	0x1.9ea7b980612c4p-20	-0x1.1b58000000000p-58	-3.84002386637737059e-18	0x1.c54300429305bp-3	2.21319200545965739e-01	1.735061e-17	2.253955e-18
185	6	-0x1.e5dd4551fdc9cp-28	0x1.a9413169c020bp-2	-0x1.e5dd4551a80ecp-28	-0x1.e5dd4551a80ecp-28	0x1.56ec000000000p-62	2.90466126459220774e-19	0x1.4d348969ef44cp-7	1.01686163869719945e-02	2.856496e-17	3.304984e-19
186	11	-0x1.610d2c7937f2bp-13	0x1.379cf31a70574p+1	-0x1.610d2c793823dp-13	-0x1.610d2c793823dp-13	-0x1.8900000000000p-56	-2.13045726893401621e-17	0x1.96d06809d4897p-2	3.97279382324208397e-01	5.362617e-17	8.673617e-19
187	12	-0x1.d64553b1f4edep-19	0x1.a94e533300d18p-2	-0x1.d64553b1f5087p-19	-0x1.d64553b1f5087p-19	-0x1.a900000000000p-63	-1.79994501291538822e-19	0x1.f2704f9a3a62dp-6	3.04222848289212207e-02	5.916535e-18	8.364450e-19
188	7	0x1.547e3f9e02770p-11	-0x1.3d380e2c34e86p-1	0x1.547e3f9e02751p-11	0x1.547e3f9e02751p-11	-0x1.f000000000000p-59	-3.36102673470506375e-18	0x1.c415702b4b76ap-5	5.51860037615899551e-02	6.090361e-17	7.589415e-19
189	9	-0x1.9ee29e62f4fb3p-20	-0x1.c9d74bd7ba870p-8	-0x1.9ee29e62f5642p-20	-0x1.9ee29e62f5642p-20	-0x1.a3c0000000000p-62	-3.55542079609992567e-19	0x1.a86dc30460016p-8	6.47626887473508848e-03	5.489922e-17	1.526777e-19
190	5	0x1.9466649f9cf26p-17	0x1.37b6b16ec2e51p+1	0x1.9466649f9e43fp-17	0x1.9466649f9e43fp-17	0x1.5190000000000p-57	9.14964989624095226e-18	0x1.7d3cb5122f08ep-4	9.30754731261364820e-02	9.830356e-17	4.421512e-18
