 frequency                ac_re                    ac_im                   
 1.00000000000000000e+00  1.99575058546943893e+01 -8.19034185671229834e-06 
 1.02329299228075410e+00  1.99575058546943218e+01 -8.38111942635742086e-06 
 1.04712854805089939e+00  1.99575058546942294e+01 -8.57634077645961284e-06 
 1.07151930523760619e+00  1.99575058546941371e+01 -8.77610941596280508e-06 
 1.09647819614318465e+00  1.99575058546940518e+01 -8.98053126484387833e-06 
 1.12201845430196312e+00  1.99575058546939559e+01 -9.18971471027292638e-06 
 1.14815362149688238e+00  1.99575058546938635e+01 -9.40377066408164801e-06 
 1.17489755493952908e+00  1.99575058546937605e+01 -9.62281262157007133e-06 
 1.20226443461741250e+00  1.99575058546936575e+01 -9.84695672168342000e-06 
 1.23026877081238117e+00  1.99575058546935402e+01 -1.00763218085904733e-05 
 1.25892541179416684e+00  1.99575058546934230e+01 -1.03110294946963751e-05 
 1.28824955169313360e+00  1.99575058546933128e+01 -1.05512042251229556e-05 
 1.31825673855640679e+00  1.99575058546931707e+01 -1.07969733436913869e-05 
 1.34896288259165331e+00  1.99575058546930322e+01 -1.10484671604414681e-05 
 1.38038426460288455e+00  1.99575058546929114e+01 -1.13058190207237788e-05 
 1.41253754462275394e+00  1.99575058546927622e+01 -1.15691653759010656e-05 
 1.44543977074592700e+00  1.99575058546926023e+01 -1.18386458556967105e-05 
 1.47910838816820678e+00  1.99575058546924389e+01 -1.21144033422279858e-05 
 1.51356124843620754e+00  1.99575058546922719e+01 -1.23965840457644367e-05 
 1.54881661891248057e+00  1.99575058546920943e+01 -1.26853375822500717e-05 
 1.58489319246111271e+00  1.99575058546918989e+01 -1.29808170526321652e-05 
 1.62181009735892911e+00  1.99575058546917035e+01 -1.32831791240369664e-05 
 1.65958690743755977e+00  1.99575058546915081e+01 -1.35925841128370016e-05 
 1.69824365246174347e+00  1.99575058546912807e+01 -1.39091960696527606e-05 
 1.73780082874937447e+00  1.99575058546910604e+01 -1.42331828663346668e-05 
 1.77827941003892165e+00  1.99575058546908295e+01 -1.45647162849706759e-05 
 1.81970085860998210e+00  1.99575058546905879e+01 -1.49039721089678207e-05 
 1.86208713666286596e+00  1.99575058546903321e+01 -1.52511302162545511e-05 
 1.90546071796324568e+00  1.99575058546900692e+01 -1.56063746746544672e-05 
 1.94984459975804381e+00  1.99575058546897779e+01 -1.59698938394817114e-05 
 1.99526231496887796e+00  1.99575058546894937e+01 -1.63418804534091393e-05 
 2.04173794466952740e+00  1.99575058546891881e+01 -1.67225317486633580e-05 
 2.08929613085403743e+00  1.99575058546888577e+01 -1.71120495515995838e-05 
 2.13796208950222999e+00  1.99575058546885025e+01 -1.75106403897127820e-05 
 2.18776162394955032e+00  1.99575058546881543e+01 -1.79185156011412637e-05 
 2.23872113856833721e+00  1.99575058546877884e+01 -1.83358914467211619e-05 
 2.29086765276777049e+00  1.99575058546873940e+01 -1.87629892246503049e-05 
 2.34422881531991933e+00  1.99575058546869819e+01 -1.92000353878239569e-05 
 2.39883291901948770e+00  1.99575058546865591e+01 -1.96472616639027341e-05 
 2.45470891568502747e+00  1.99575058546861008e+01 -2.01049051781777765e-05 
 2.51188643150957702e+00  1.99575058546856248e+01 -2.05732085792982231e-05 
 2.57039578276886038e+00  1.99575058546851345e+01 -2.10524201679260063e-05 
 2.63026799189537819e+00  1.99575058546846300e+01 -2.15427940283885227e-05 
 2.69153480392691202e+00  1.99575058546841007e+01 -2.20445901633975429e-05 
 2.75422870333816272e+00  1.99575058546835393e+01 -2.25580746319057273e-05 
 2.81838293126444972e+00  1.99575058546829354e+01 -2.30835196901751836e-05 
 2.88403150312660150e+00  1.99575058546823314e+01 -2.36212039361309047e-05 
 2.95120922666638119e+00  1.99575058546816848e+01 -2.41714124570771013e-05 
 3.01995172040201165e+00  1.99575058546809956e+01 -2.47344369808544595e-05 
 3.09029543251358563e+00  1.99575058546803241e+01 -2.53105760305181454e-05 
 3.16227766016837419e+00  1.99575058546795781e+01 -2.59001350826181320e-05 
 3.23593656929627738e+00  1.99575058546787858e+01 -2.65034267291677795e-05 
 3.31131121482590540e+00  1.99575058546779971e+01 -2.71207708433835135e-05 
 3.38844156139201980e+00  1.99575058546771160e+01 -2.77524947492861711e-05 
 3.46736850452531042e+00  1.99575058546762669e+01 -2.83989333952527125e-05 
 3.54813389233574838e+00  1.99575058546753219e+01 -2.90604295316096106e-05 
 3.63078054770100689e+00  1.99575058546743307e+01 -2.97373338923643084e-05 
 3.71535229097171849e+00  1.99575058546733004e+01 -3.04300053811688772e-05 
 3.80189396320560480e+00  1.99575058546722346e+01 -3.11388112616156507e-05 
 3.89045144994279868e+00  1.99575058546711013e+01 -3.18641273519637780e-05 
 3.98107170553496470e+00  1.99575058546699502e+01 -3.26063382244055607e-05 
 4.07380277804111923e+00  1.99575058546686996e+01 -3.33658374089697393e-05 
 4.16869383470334576e+00  1.99575058546674100e+01 -3.41430276021771102e-05 
 4.26579518801591817e+00  1.99575058546660884e+01 -3.49383208805555961e-05 
 4.36515832240165125e+00  1.99575058546646602e+01 -3.57521389191281329e-05 
 4.46683592150962205e+00  1.99575058546657758e+01 -3.65849132150019714e-05 
 4.57088189614874096e+00  1.99575058546642481e+01 -3.74370853161103514e-05 
 4.67735141287197198e+00  1.99575058546625996e+01 -3.83091070553915244e-05 
 4.78630092322637335e+00  1.99575058546609228e+01 -3.92014407903144995e-05 
 4.89778819368445184e+00  1.99575058546591215e+01 -4.01145596480370151e-05 
 5.01187233627271223e+00  1.99575058546572741e+01 -4.10489477762635964e-05 
 5.12861383991363784e+00  1.99575058546553130e+01 -4.20051005999480312e-05 
 5.24807460249771474e+00  1.99575058546532773e+01 -4.29835250839736345e-05 
 5.37031796370251602e+00  1.99575058546511670e+01 -4.39847400019530092e-05 
 5.49540873857623335e+00  1.99575058546489075e+01 -4.50092762112880223e-05 
 5.62341325190347785e+00  1.99575058546465591e+01 -4.60576769346385348e-05 
 5.75439937337155616e+00  1.99575058546441042e+01 -4.71304980479454326e-05 
 5.88843655355587625e+00  1.99575058546415320e+01 -4.82283083751623804e-05 
 6.02559586074356357e+00  1.99575058546388462e+01 -4.93516899898571292e-05 
 6.16595001861480707e+00  1.99575058546360431e+01 -5.05012385238309998e-05 
 6.30957344480191740e+00  1.99575058546330837e+01 -5.16775634829330839e-05 
 6.45654229034653948e+00  1.99575058546300035e+01 -5.28812885702269561e-05 
 6.60693448007594419e+00  1.99575058546267670e+01 -5.41130520166876035e-05 
 6.76082975391980145e+00  1.99575058546233564e+01 -5.53735069195976406e-05 
 6.91830970918934796e+00  1.99575058546198321e+01 -5.66633215888313595e-05 
 7.07945784384136179e+00  1.99575058546161230e+01 -5.79831799011990034e-05 
 7.24435960074988294e+00  1.99575058546122222e+01 -5.93337816630484251e-05 
 7.41310241300915695e+00  1.99575058546081330e+01 -6.07158429813103298e-05 
 7.58577575029181883e+00  1.99575058546038662e+01 -6.21300966431897919e-05 
 7.76247116628689771e+00  1.99575058545994217e+01 -6.35772925046981341e-05 
 7.94328234724279447e+00  1.99575058545947357e+01 -6.50581978882376968e-05 
 8.12830516164097183e+00  1.99575058545898472e+01 -6.65735979894437437e-05 
 8.31763771102668947e+00  1.99575058545847135e+01 -6.81242962935090288e-05 
 8.51138038202374325e+00  1.99575058545793524e+01 -6.97111150012010098e-05 
 8.70963589956078366e+00  1.99575058545737249e+01 -7.13348954648012728e-05 
 8.91250938133743098e+00  1.99575058545678559e+01 -7.29964986342059101e-05 
 9.12010839355907166e+00  1.99575058545616741e+01 -7.46968055134082176e-05 
 9.33254300796988367e+00  1.99575058545552331e+01 -7.64367176276222414e-05 
 9.54992586021433176e+00  1.99575058545484758e+01 -7.82171575012819141e-05 
 9.77237220955807828e+00  1.99575058545413953e+01 -8.00390691471740000e-05 
 9.99999999999996980e+00  1.99575058545339985e+01 -8.19034185669703142e-05 
 1.02329299228075108e+01  1.99575058545262287e+01 -8.38111942634090981e-05 
 1.04712854805089641e+01  1.99575058545180930e+01 -8.57634077644183124e-05 
 1.07151930523760317e+01  1.99575058545095843e+01 -8.77610941594357167e-05 
 1.09647819614318163e+01  1.99575058545006812e+01 -8.98053126482319276e-05 
 1.12201845430195988e+01  1.99575058544913873e+01 -9.18971471025073310e-05 
 1.14815362149687914e+01  1.99575058544816315e+01 -9.40377066405765055e-05 
