22-Sep-2026 23:41:34 | INFO    | KLayout version detected: 0.30.9 (required >= 0.30.5)
22-Sep-2026 23:41:34 | INFO    | Using DRC JSON file: /foss/pdks/ihp-sg13g2/libs.tech/klayout/python/sg13g2_pycell_lib/sg13g2_tech_mod.json
22-Sep-2026 23:41:34 | INFO    | Running IHP-SG13G2 main checks on design ${RESULTS_ROOT}/sense-ring-routing-20260922-r8a/g1_sense_physical.gds, topcell: g1_sense_physical
2026-09-22 23:41:37 +0200: Memory Usage (414844K) : metal2_res has 0 polygons
2026-09-22 23:41:37 +0200: Memory Usage (414844K) : metal2_iprobe has 0 polygons
2026-09-22 23:41:37 +0200: Memory Usage (414844K) : metal2_diffprb has 0 polygons
2026-09-22 23:41:37 +0200: Memory Usage (414844K) : baspoly_drw has 0 polygons
2026-09-22 23:41:37 +0200: Memory Usage (414844K) : baspoly_pin has 0 polygons
2026-09-22 23:41:37 +0200: Memory Usage (415108K) : psd_drw has 371 polygons
2026-09-22 23:41:37 +0200: Memory Usage (415108K) : nldb_drw has 0 polygons
2026-09-22 23:41:37 +0200: Memory Usage (415108K) : digibnd_drw has 0 polygons
2026-09-22 23:41:37 +0200: Memory Usage (415108K) : via1_drw has 1174 polygons
2026-09-22 23:41:37 +0200: Memory Usage (415108K) : backmetal1_drw has 0 polygons
2026-09-22 23:41:37 +0200: Memory Usage (415372K) : backmetal1_pin has 0 polygons
2026-09-22 23:41:37 +0200: Memory Usage (415372K) : backmetal1_mask has 0 polygons
2026-09-22 23:41:37 +0200: Memory Usage (415372K) : backmetal1_filler has 0 polygons
2026-09-22 23:41:37 +0200: Memory Usage (415372K) : backmetal1_nofill has 0 polygons
2026-09-22 23:41:37 +0200: Memory Usage (415636K) : backmetal1_slit has 0 polygons
2026-09-22 23:41:37 +0200: Memory Usage (415636K) : backmetal1_text has 0 polygons
2026-09-22 23:41:37 +0200: Memory Usage (415636K) : backmetal1_opc has 0 polygons
2026-09-22 23:41:37 +0200: Memory Usage (415636K) : backmetal1_noqrc has 0 polygons
2026-09-22 23:41:37 +0200: Memory Usage (415876K) : backmetal1_res has 0 polygons
2026-09-22 23:41:37 +0200: Memory Usage (415876K) : backmetal1_iprobe has 0 polygons
2026-09-22 23:41:37 +0200: Memory Usage (416000K) : backmetal1_diffprb has 0 polygons
2026-09-22 23:41:37 +0200: Memory Usage (416000K) : backpassiv_drw has 0 polygons
2026-09-22 23:41:37 +0200: Memory Usage (416000K) : res_drw has 0 polygons
2026-09-22 23:41:37 +0200: Memory Usage (416260K) : sram_drw has 0 polygons
2026-09-22 23:41:37 +0200: Memory Usage (416260K) : trans_drw has 0 polygons
2026-09-22 23:41:37 +0200: Memory Usage (416260K) : ind_drw has 0 polygons
2026-09-22 23:41:37 +0200: Memory Usage (416260K) : ind_pin has 0 polygons
2026-09-22 23:41:37 +0200: Memory Usage (416260K) : ind_text has 0 polygons
2026-09-22 23:41:37 +0200: Memory Usage (416524K) : salblock_drw has 100 polygons
2026-09-22 23:41:37 +0200: Memory Usage (416524K) : via2_drw has 419 polygons
2026-09-22 23:41:37 +0200: Memory Usage (416524K) : metal3_drw has 869 polygons
2026-09-22 23:41:37 +0200: Memory Usage (416524K) : metal3_pin has 0 polygons
2026-09-22 23:41:37 +0200: Memory Usage (416788K) : metal3_mask has 0 polygons
2026-09-22 23:41:37 +0200: Memory Usage (416788K) : metal3_filler has 0 polygons
2026-09-22 23:41:37 +0200: Memory Usage (416788K) : metal3_nofill has 4 polygons
2026-09-22 23:41:37 +0200: Memory Usage (416788K) : metal3_slit has 0 polygons
2026-09-22 23:41:37 +0200: Memory Usage (416788K) : metal3_text has 4 polygons
2026-09-22 23:41:37 +0200: Memory Usage (417084K) : metal3_opc has 0 polygons
2026-09-22 23:41:37 +0200: Memory Usage (417084K) : metal3_noqrc has 0 polygons
2026-09-22 23:41:37 +0200: Memory Usage (417084K) : metal3_res has 0 polygons
2026-09-22 23:41:37 +0200: Memory Usage (417084K) : metal3_iprobe has 0 polygons
2026-09-22 23:41:37 +0200: Memory Usage (417344K) : metal3_diffprb has 0 polygons
2026-09-22 23:41:37 +0200: Memory Usage (417344K) : nwell_drw has 49 polygons
2026-09-22 23:41:37 +0200: Memory Usage (417344K) : nwell_pin has 0 polygons
2026-09-22 23:41:37 +0200: Memory Usage (417344K) : nbulay_drw has 0 polygons
2026-09-22 23:41:37 +0200: Memory Usage (417344K) : nbulay_pin has 0 polygons
2026-09-22 23:41:37 +0200: Memory Usage (417344K) : nbulay_block has 0 polygons
2026-09-22 23:41:37 +0200: Memory Usage (417344K) : emwind_drw has 0 polygons
2026-09-22 23:41:37 +0200: Memory Usage (417608K) : emwind_opc has 0 polygons
2026-09-22 23:41:37 +0200: Memory Usage (417608K) : deepco_drw has 0 polygons
2026-09-22 23:41:37 +0200: Memory Usage (417608K) : deepco_drw has 0 polygons
2026-09-22 23:41:37 +0200: Memory Usage (417608K) : mim_drw has 3 polygons
2026-09-22 23:41:37 +0200: Memory Usage (417608K) : edgeseal_drw has 0 polygons
2026-09-22 23:41:37 +0200: Memory Usage (417608K) : edgeseal_bound has 0 polygons
2026-09-22 23:41:37 +0200: Memory Usage (417608K) : substrate_drw has 33 polygons
2026-09-22 23:41:37 +0200: Memory Usage (417872K) : substrate_text has 0 polygons
2026-09-22 23:41:37 +0200: Memory Usage (417872K) : dfpad_drw has 0 polygons
2026-09-22 23:41:37 +0200: Memory Usage (417872K) : dfpad_pillar has 0 polygons
2026-09-22 23:41:37 +0200: Memory Usage (417872K) : dfpad_sbump has 0 polygons
2026-09-22 23:41:37 +0200: Memory Usage (417872K) : thickgateox_drw has 66 polygons
2026-09-22 23:41:37 +0200: Memory Usage (417872K) : pldb_drw has 0 polygons
2026-09-22 23:41:37 +0200: Memory Usage (418136K) : pwell_drw has 0 polygons
2026-09-22 23:41:37 +0200: Memory Usage (418136K) : pwell_pin has 0 polygons
2026-09-22 23:41:37 +0200: Memory Usage (418136K) : pwell_block has 0 polygons
2026-09-22 23:41:37 +0200: Memory Usage (418136K) : ic_drw has 0 polygons
2026-09-22 23:41:37 +0200: Memory Usage (418136K) : via3_drw has 260 polygons
2026-09-22 23:41:37 +0200: Memory Usage (418400K) : metal4_drw has 443 polygons
2026-09-22 23:41:37 +0200: Memory Usage (418400K) : metal4_pin has 13 polygons
2026-09-22 23:41:37 +0200: Memory Usage (418400K) : metal4_mask has 0 polygons
2026-09-22 23:41:37 +0200: Memory Usage (418400K) : metal4_filler has 0 polygons
2026-09-22 23:41:37 +0200: Memory Usage (418664K) : metal4_nofill has 4 polygons
2026-09-22 23:41:37 +0200: Memory Usage (418664K) : metal4_slit has 0 polygons
2026-09-22 23:41:37 +0200: Memory Usage (418664K) : metal4_text has 13 polygons
2026-09-22 23:41:37 +0200: Memory Usage (418664K) : metal4_opc has 0 polygons
2026-09-22 23:41:37 +0200: Memory Usage (418664K) : metal4_noqrc has 0 polygons
2026-09-22 23:41:37 +0200: Memory Usage (418928K) : metal4_res has 0 polygons
2026-09-22 23:41:37 +0200: Memory Usage (418928K) : metal4_iprobe has 0 polygons
2026-09-22 23:41:37 +0200: Memory Usage (418928K) : metal4_diffprb has 0 polygons
2026-09-22 23:41:37 +0200: Memory Usage (418928K) : heattrans_drw has 835 polygons
2026-09-22 23:41:37 +0200: Memory Usage (418928K) : heatres_drw has 98 polygons
2026-09-22 23:41:37 +0200: Memory Usage (419192K) : pempoly_drw has 0 polygons
2026-09-22 23:41:37 +0200: Memory Usage (419192K) : fbe_drw has 0 polygons
2026-09-22 23:41:37 +0200: Memory Usage (419192K) : empoly_drw has 0 polygons
2026-09-22 23:41:37 +0200: Memory Usage (419192K) : ldmos_drw has 0 polygons
2026-09-22 23:41:37 +0200: Memory Usage (419456K) : pbiwind_drw has 0 polygons
2026-09-22 23:41:37 +0200: Memory Usage (419456K) : digisub_drw has 0 polygons
2026-09-22 23:41:37 +0200: Memory Usage (419456K) : nodrc_drw has 0 polygons
2026-09-22 23:41:37 +0200: Memory Usage (419456K) : text_drw has 59 polygons
2026-09-22 23:41:37 +0200: Memory Usage (419456K) : via4_drw has 270 polygons
2026-09-22 23:41:37 +0200: Memory Usage (419456K) : metal5_drw has 209 polygons
2026-09-22 23:41:37 +0200: Memory Usage (419456K) : metal5_pin has 0 polygons
2026-09-22 23:41:37 +0200: Memory Usage (419720K) : metal5_mask has 0 polygons
2026-09-22 23:41:37 +0200: Memory Usage (419720K) : metal5_filler has 0 polygons
2026-09-22 23:41:37 +0200: Memory Usage (419720K) : metal5_nofill has 4 polygons
2026-09-22 23:41:37 +0200: Memory Usage (419720K) : metal5_slit has 0 polygons
2026-09-22 23:41:37 +0200: Memory Usage (419720K) : metal5_text has 0 polygons
2026-09-22 23:41:37 +0200: Memory Usage (419984K) : metal5_opc has 0 polygons
2026-09-22 23:41:37 +0200: Memory Usage (419984K) : metal5_noqrc has 0 polygons
2026-09-22 23:41:37 +0200: Memory Usage (419984K) : metal5_res has 0 polygons
2026-09-22 23:41:37 +0200: Memory Usage (419984K) : metal5_iprobe has 0 polygons
2026-09-22 23:41:37 +0200: Memory Usage (419984K) : metal5_diffprb has 0 polygons
2026-09-22 23:41:37 +0200: Memory Usage (420248K) : radhard_drw has 0 polygons
2026-09-22 23:41:37 +0200: Memory Usage (420248K) : memcap_drw has 0 polygons
2026-09-22 23:41:37 +0200: Memory Usage (420248K) : varicap_drw has 0 polygons
2026-09-22 23:41:37 +0200: Memory Usage (420248K) : flash_drw has 0 polygons
2026-09-22 23:41:37 +0200: Memory Usage (420248K) : intbondvia_drw has 0 polygons
2026-09-22 23:41:37 +0200: Memory Usage (420512K) : intbondmet_drw has 0 polygons
2026-09-22 23:41:37 +0200: Memory Usage (420512K) : devbondvia_drw has 0 polygons
2026-09-22 23:41:37 +0200: Memory Usage (420512K) : devbondmet_drw has 0 polygons
2026-09-22 23:41:37 +0200: Memory Usage (420512K) : devtrench_drw has 0 polygons
2026-09-22 23:41:37 +0200: Memory Usage (420512K) : redist_drw has 0 polygons
2026-09-22 23:41:37 +0200: Memory Usage (420776K) : graphbot_drw has 0 polygons
2026-09-22 23:41:37 +0200: Memory Usage (420776K) : graphtop_drw has 0 polygons
2026-09-22 23:41:37 +0200: Memory Usage (420776K) : antvia1_drw has 0 polygons
2026-09-22 23:41:37 +0200: Memory Usage (420776K) : antmetal2_drw has 0 polygons
2026-09-22 23:41:37 +0200: Memory Usage (420776K) : graphcont_drw has 0 polygons
2026-09-22 23:41:37 +0200: Memory Usage (421040K) : siwg_drw has 0 polygons
2026-09-22 23:41:37 +0200: Memory Usage (421040K) : siwg_filler has 0 polygons
2026-09-22 23:41:37 +0200: Memory Usage (421040K) : siwg_nofill has 0 polygons
2026-09-22 23:41:37 +0200: Memory Usage (421040K) : sigrating_drw has 0 polygons
2026-09-22 23:41:37 +0200: Memory Usage (421040K) : singrating_drw has 0 polygons
2026-09-22 23:41:37 +0200: Memory Usage (421304K) : graphpas_drw has 0 polygons
2026-09-22 23:41:37 +0200: Memory Usage (421304K) : emwind3_drw has 0 polygons
2026-09-22 23:41:37 +0200: Memory Usage (421304K) : emwihv3_drw has 0 polygons
2026-09-22 23:41:37 +0200: Memory Usage (421304K) : redbulay_drw has 0 polygons
2026-09-22 23:41:37 +0200: Memory Usage (421304K) : smos_drw has 0 polygons
2026-09-22 23:41:37 +0200: Memory Usage (421304K) : graphpad_drw has 0 polygons
2026-09-22 23:41:37 +0200: Memory Usage (421568K) : polimide_drw has 0 polygons
2026-09-22 23:41:37 +0200: Memory Usage (421568K) : polimide_pin has 0 polygons
2026-09-22 23:41:37 +0200: Memory Usage (421568K) : recog_drw has 0 polygons
2026-09-22 23:41:37 +0200: Memory Usage (421568K) : recog_pin has 0 polygons
2026-09-22 23:41:37 +0200: Memory Usage (421568K) : recog_esd has 0 polygons
2026-09-22 23:41:37 +0200: Memory Usage (421568K) : recog_diode has 0 polygons
2026-09-22 23:41:37 +0200: Memory Usage (421568K) : recog_tsv has 0 polygons
2026-09-22 23:41:37 +0200: Memory Usage (421832K) : recog_iprobe has 0 polygons
2026-09-22 23:41:37 +0200: Memory Usage (421832K) : recog_diffprb has 0 polygons
2026-09-22 23:41:37 +0200: Memory Usage (421832K) : recog_pillar has 0 polygons
2026-09-22 23:41:37 +0200: Memory Usage (421832K) : recog_sbump has 0 polygons
2026-09-22 23:41:37 +0200: Memory Usage (422096K) : recog_otp has 0 polygons
2026-09-22 23:41:37 +0200: Memory Usage (422096K) : recog_pdiode has 0 polygons
2026-09-22 23:41:37 +0200: Memory Usage (422096K) : recog_mom has 0 polygons
2026-09-22 23:41:37 +0200: Memory Usage (422096K) : recog_pcm has 0 polygons
2026-09-22 23:41:37 +0200: Memory Usage (422096K) : colopen_drw has 0 polygons
