Device;Net1;Net2;Capacitance [fF];Resistance [Ω]
C1;CTX_L126_0,CTX_L134_0;CTX_L134_1;0.599;
C2;CTX_L126_0,CTX_L134_0;CTX_L30_0;0.082;
C3;CTX_L126_0,CTX_L134_0;CTX_L30_1;0.029;
C4;CTX_L126_0,CTX_L134_0;CTX_L30_2;0.002;
C5;CTX_L126_0,CTX_L134_0;CTX_L30_5;0.012;
C6;CTX_L126_0,CTX_L134_0;CTX_L30_7;0.003;
C7;CTX_L126_0,CTX_L134_0;CTX_L30_8;0.005;
C8;CTX_L126_0,CTX_L134_0;CTX_L30_9;0.001;
C9;CTX_L126_0,CTX_L134_0;CTX_L67_2;0.219;
C10;CTX_L126_0,CTX_L134_0;CTX_L67_3;0.069;
C11;CTX_L126_0,CTX_L134_0;CTX_L67_4;0.035;
C12;CTX_L126_0,CTX_L134_0;CTX_L67_5;0.027;
C13;CTX_L126_0,CTX_L134_0;CTX_L67_6;0.016;
C14;CTX_L126_0,CTX_L134_0;CTX_L67_7;0.011;
C15;CTX_L126_0,CTX_L134_0;CTX_L8_0;0.023;
C16;CTX_L126_0,CTX_L134_0;FILL_L10_0;0.012;
C17;CTX_L126_0,CTX_L134_0;FILL_L10_1;0.038;
C18;CTX_L126_0,CTX_L134_0;FILL_L10_10;0.079;
C19;CTX_L126_0,CTX_L134_0;FILL_L10_11;0.036;
C20;CTX_L126_0,CTX_L134_0;FILL_L10_12;0.003;
C21;CTX_L126_0,CTX_L134_0;FILL_L10_13;0.009;
C22;CTX_L126_0,CTX_L134_0;FILL_L10_14;0.012;
C23;CTX_L126_0,CTX_L134_0;FILL_L10_15;0.056;
C24;CTX_L126_0,CTX_L134_0;FILL_L10_16;0.024;
C25;CTX_L126_0,CTX_L134_0;FILL_L10_2;0.035;
C26;CTX_L126_0,CTX_L134_0;FILL_L10_20;0.05;
C27;CTX_L126_0,CTX_L134_0;FILL_L10_21;0.006;
C28;CTX_L126_0,CTX_L134_0;FILL_L10_25;0.005;
C29;CTX_L126_0,CTX_L134_0;FILL_L10_26;0.002;
C30;CTX_L126_0,CTX_L134_0;FILL_L10_3;0.042;
C31;CTX_L126_0,CTX_L134_0;FILL_L10_4;0.021;
C32;CTX_L126_0,CTX_L134_0;FILL_L10_5;0.085;
C33;CTX_L126_0,CTX_L134_0;FILL_L10_6;0.083;
C34;CTX_L126_0,CTX_L134_0;FILL_L10_7;0.057;
C35;CTX_L126_0,CTX_L134_0;FILL_L10_8;0.052;
C36;CTX_L126_0,CTX_L134_0;FILL_L10_9;0.034;
C37;CTX_L126_0,CTX_L134_0;FILL_L126_0;0.19;
C38;CTX_L126_0,CTX_L134_0;FILL_L126_1;0.002;
C39;CTX_L126_0,CTX_L134_0;FILL_L126_2;0.006;
C40;CTX_L126_0,CTX_L134_0;FILL_L126_3;0.02;
C41;CTX_L126_0,CTX_L134_0;FILL_L30_1;0.037;
C42;CTX_L126_0,CTX_L134_0;FILL_L30_11;0.007;
C43;CTX_L126_0,CTX_L134_0;FILL_L30_12;0.012;
C44;CTX_L126_0,CTX_L134_0;FILL_L30_2;0.03;
C45;CTX_L126_0,CTX_L134_0;FILL_L30_3;0.024;
C46;CTX_L126_0,CTX_L134_0;FILL_L30_4;0.005;
C47;CTX_L126_0,CTX_L134_0;FILL_L30_5;0.013;
C48;CTX_L126_0,CTX_L134_0;FILL_L50_0;0.028;
C49;CTX_L126_0,CTX_L134_0;FILL_L50_1;0.433;
C50;CTX_L126_0,CTX_L134_0;FILL_L50_10;0.064;
C51;CTX_L126_0,CTX_L134_0;FILL_L50_12;0.019;
C52;CTX_L126_0,CTX_L134_0;FILL_L50_13;0.07;
C53;CTX_L126_0,CTX_L134_0;FILL_L50_2;0.338;
C54;CTX_L126_0,CTX_L134_0;FILL_L50_3;0.307;
C55;CTX_L126_0,CTX_L134_0;FILL_L50_4;0.094;
C56;CTX_L126_0,CTX_L134_0;FILL_L50_5;0.432;
C57;CTX_L126_0,CTX_L134_0;FILL_L50_6;0.087;
C58;CTX_L126_0,CTX_L134_0;FILL_L50_7;0.043;
C59;CTX_L126_0,CTX_L134_0;FILL_L50_8;0.116;
C60;CTX_L126_0,CTX_L134_0;FILL_L50_9;0.359;
C61;CTX_L126_0,CTX_L134_0;FILL_L8_1;0.002;
C62;CTX_L126_0,CTX_L134_0;FILL_L8_10;0.002;
