 frequency                ir                       ii                       vr                       vi                      
 1.00000000000000000e+00  2.51192025079588488e-15  1.27604109447488599e-14  1.25584308657622490e-03  3.55457064076144475e-07 
 1.02329299228075410e+00  2.51571495839958414e-15  1.30576390973534118e-14  1.25584308658133192e-03  3.63736722725807995e-07 
 1.04712854805089939e+00  2.50788159770337638e-15  1.33617905862489100e-14  1.25584308658566179e-03  3.72209239400483333e-07 
 1.07151930523760619e+00  2.50939948074485608e-15  1.36730266719501330e-14  1.25584308659132393e-03  3.80879106340665845e-07 
 1.09647819614318465e+00  2.50284005760131878e-15  1.39915123736805627e-14  1.25584308659720811e-03  3.89750920424555791e-07 
 1.12201845430196312e+00  2.50510332963638227e-15  1.43174165620166129e-14  1.25584308660264821e-03  3.98829385605419523e-07 
 1.14815362149688238e+00  2.51091736378633579e-15  1.46509120349882461e-14  1.25584308660908750e-03  4.08119315405664441e-07 
 1.17489755493952908e+00  2.50284005760131878e-15  1.49921756173406463e-14  1.25584308661541577e-03  4.17625635469033599e-07 
 1.20226443461741250e+00  2.50864053922411623e-15  1.53413882432522811e-14  1.25584308662196609e-03  4.27353386172252646e-07 
 1.23026877081238117e+00  2.51292313780543397e-15  1.56987350853750766e-14  1.25584308662884947e-03  4.37307725297514178e-07 
 1.25892541179416684e+00  2.51998400445374582e-15  1.60644056011565319e-14  1.25584308663706512e-03  4.47493930767181624e-07 
 1.28824955169313360e+00  2.50964342623366532e-15  1.64385936718060620e-14  1.25584308664417055e-03  4.57917403442224483e-07 
 1.31825673855640679e+00  2.50862698669696016e-15  1.68214977081741165e-14  1.25584308665249722e-03  4.68583669985823583e-07 
 1.34896288259165331e+00  2.50106467654387377e-15  1.72133207235440729e-14  1.25584308666082389e-03  4.79498385793683520e-07 
 1.38038426460288455e+00  2.51090381125917972e-15  1.76142704792160250e-14  1.25584308667014977e-03  4.90667337992609549e-07 
 1.41253754462275394e+00  2.50030573502313391e-15  1.80245595407550642e-14  1.25584308667936462e-03  5.02096448508880198e-07 
 1.44543977074592700e+00  2.50938592821770001e-15  1.84444054698971817e-14  1.25584308668891254e-03  5.13791777208192212e-07 
 1.47910838816820678e+00  2.50812554319218561e-15  1.88740308576364932e-14  1.25584308669945965e-03  5.25759525108614653e-07 
 1.51356124843620754e+00  2.50761054716025500e-15  1.93136635227485856e-14  1.25584308670978473e-03  5.38006037668495298e-07 
 1.54881661891248057e+00  2.50988737172247456e-15  1.97635365382602966e-14  1.25584308672133105e-03  5.50537808150900714e-07 
 1.58489319246111271e+00  2.49095449128544644e-15  2.02238884365905069e-14  1.25584308673276634e-03  5.63361481066416604e-07 
 1.62181009735892911e+00  2.50407333757252104e-15  2.06949633154292586e-14  1.25584308674531187e-03  5.76483855696166631e-07 
 1.65958690743755977e+00  2.49523708986676418e-15  2.11770109436168732e-14  1.25584308675807943e-03  5.89911889696870513e-07 
 1.69824365246174347e+00  2.50609266411877529e-15  2.16702868868754051e-14  1.25584308677118006e-03  6.03652702789894318e-07 
 1.73780082874937447e+00  2.51087670620486758e-15  2.21750527261843232e-14  1.25584308678616807e-03  6.17713580536238619e-07 
 1.77827941003892165e+00  2.49674142038108782e-15  2.26915760511630659e-14  1.25584308680037893e-03  6.32101978199371363e-07 
 1.81970085860998210e+00  2.49850324891137676e-15  2.32201307578560618e-14  1.25584308681614409e-03  6.46825524698209197e-07 
 1.86208713666286596e+00  2.49371920682528447e-15  2.37609970818199541e-14  1.25584308683179824e-03  6.61892026651994026e-07 
 1.90546071796324568e+00  2.50481872656610483e-15  2.43144618032643924e-14  1.25584308684889567e-03  6.77309472519480024e-07 
 1.94984459975804381e+00  2.49244526927261401e-15  2.48808183727834860e-14  1.25584308686665924e-03  6.93086036834545923e-07 
 1.99526231496887796e+00  2.49092738623113430e-15  2.54603670900268163e-14  1.25584308688542201e-03  7.09230084540429141e-07 
 2.04173794466952740e+00  2.49520998481245204e-15  2.60534152095785547e-14  1.25584308690462887e-03  7.25750175424884534e-07 
 2.08929613085403743e+00  2.48763412213220958e-15  2.66602772321250389e-14  1.25584308692505697e-03  7.42655068658800267e-07 
 2.13796208950222999e+00  2.49747325684751553e-15  2.72812748515152132e-14  1.25584308694659530e-03  7.59953727440321070e-07 
 2.18776162394955032e+00  2.49117133171994354e-15  2.79167373915119921e-14  1.25584308696879976e-03  7.77655323747299706e-07 
 2.23872113856833721e+00  2.47955681594719257e-15  2.85670017330003664e-14  1.25584308699244751e-03  7.95769243200427575e-07 
 2.29086765276777049e+00  2.48686162808431366e-15  2.92324126911817625e-14  1.25584308701687242e-03  8.14305090039546612e-07 
 2.34422881531991933e+00  2.49619931929484506e-15  2.99133230420438220e-14  1.25584308704262959e-03  8.33272692215985640e-07 
 2.39883291901948770e+00  2.47978720890884574e-15  3.06100938466152019e-14  1.25584308706971903e-03  8.52682106603512456e-07 
 2.45470891568502747e+00  2.49618576676768900e-15  3.13230945369923581e-14  1.25584308709758563e-03  8.72543624330548646e-07 
 2.51188643150957702e+00  2.49038528514489155e-15  3.20527031280977824e-14  1.25584308712767267e-03  8.92867776236701299e-07 
 2.57039578276886038e+00  2.48154903743913469e-15  3.27993065022301334e-14  1.25584308715875892e-03  9.13665338456277568e-07 
 2.63026799189537819e+00  2.48431375297897272e-15  3.35633004950910196e-14  1.25584308719051130e-03  9.34947338132118528e-07 
 2.69153480392691202e+00  2.47219779370144721e-15  3.43450902001874654e-14  1.25584308722448412e-03  9.56725059262116928e-07 
 2.75422870333816272e+00  2.48177943040078786e-15  3.51450900945633640e-14  1.25584308726045535e-03  9.79010048682291278e-07 
 2.81838293126444972e+00  2.48176587787363179e-15  3.59637244358461714e-14  1.25584308729709271e-03  1.00181412218898710e-06 
 2.88403150312660150e+00  2.48150837985766648e-15  3.68014271696026778e-14  1.25584308733572847e-03  1.02514937080384918e-06 
 2.95120922666638119e+00  2.48175232534647572e-15  3.76586425513788283e-14  1.25584308737636263e-03  1.04902816718457466e-06 
 3.01995172040201165e+00  2.47367501916145871e-15  3.85358250143508248e-14  1.25584308741943929e-03  1.07346317218506060e-06 
 3.09029543251358563e+00  2.47568079318055689e-15  3.94334397119556080e-14  1.25584308746362616e-03  1.09846734156839294e-06 
 3.16227766016837419e+00  2.46710204349076534e-15  4.03519625178908571e-14  1.25584308751081064e-03  1.12405393287614963e-06 
 3.23593656929627738e+00  2.46708849096360927e-15  4.12918804761012434e-14  1.25584308755966045e-03  1.15023651245775387e-06 
 3.31131121482590540e+00  2.46683099294764396e-15  4.22536919463622178e-14  1.25584308761061969e-03  1.17702896266342494e-06 
 3.38844156139201980e+00  2.45672080768921663e-15  4.32379068425080274e-14  1.25584308766424346e-03  1.20444548920491443e-06 
 3.46736850452531042e+00  2.45292610008551737e-15  4.42450470824179686e-14  1.25584308772030973e-03  1.23250062868749451e-06 
 3.54813389233574838e+00  2.46628889186140121e-15  4.52756466144861670e-14  1.25584308777970666e-03  1.26120925631747261e-06 
 3.63078054770100689e+00  2.47208937348419866e-15  4.63302519073124995e-14  1.25584308784110199e-03  1.29058659378921569e-06 
 3.71535229097171849e+00  2.46803716786453409e-15  4.74094221085212723e-14  1.25584308790527288e-03  1.32064821735592346e-06 
 3.80189396320560480e+00  2.45186900296734400e-15  4.85137294285730252e-14  1.25584308797299649e-03  1.35141006608832264e-06 
 3.89045144994279868e+00  2.45363083149763295e-15  4.96437593260529885e-14  1.25584308804371769e-03  1.38288845032576459e-06 
 3.98107170553496470e+00  2.44402208974398016e-15  5.08001110503015650e-14  1.25584308811754752e-03  1.41510006032426710e-06 
 4.07380277804111923e+00  2.43542978752703254e-15  5.19833976546492198e-14  1.25584308819537416e-03  1.44806197510579863e-06 
 4.16869383470334576e+00  2.43743556154613072e-15  5.31942465522818519e-14  1.25584308827619839e-03  1.48179167151387849e-06 
 4.26579518801591817e+00  2.44701719824547137e-15  5.44332997412339209e-14  1.25584308836090841e-03  1.51630703348002711e-06 
 4.36515832240165125e+00  2.43841134350136768e-15  5.57012141882002511e-14  1.25584308845083648e-03  1.55162636150603687e-06 
 4.46683592150962205e+00  2.42502144667117170e-15  5.69986621197036072e-14  1.25584308854420623e-03  1.58776838236710296e-06 
 4.57088189614874096e+00  2.41768952947973848e-15  5.83263315382553964e-14  1.25584308864190586e-03  1.62475225904107350e-06 
 4.67735141287197198e+00  2.42447934558492895e-15  5.96849263414696770e-14  1.25584308874371331e-03  1.66259760086890879e-06 
 4.78630092322637335e+00  2.41386771682172707e-15  6.10751668779285295e-14  1.25584308885062779e-03  1.70132447395180019e-06 
 4.89778819368445184e+00  2.41359666627860570e-15  6.24977902648194122e-14  1.25584308896264929e-03  1.74095341179044587e-06 
 5.01187233627271223e+00  2.40827052310627066e-15  6.39535508246865243e-14  1.25584308907999986e-03  1.78150542617224860e-06 
 5.12861383991363784e+00  2.40371687398183154e-15  6.54432204163030515e-14  1.25584308920334564e-03  1.82300201831203049e-06 
 5.24807460249771474e+00  2.39561246274250239e-15  6.69675888449527490e-14  1.25584308933179845e-03  1.86546519025217114e-06 
 5.37031796370251602e+00  2.39634429920893011e-15  6.85274643918255344e-14  1.25584308946602441e-03  1.90891745652850521e-06 
 5.49540873857623335e+00  2.38445873289305776e-15  7.01236741316548423e-14  1.25584308960779989e-03  1.95338185610779643e-06 
 5.62341325190347785e+00  2.39301037752853718e-15  7.17570643032945389e-14  1.25584308975590364e-03  1.99888196460326813e-06 
 5.75439937337155616e+00  2.37886153917760135e-15  7.34285010773425305e-14  1.25584308991044669e-03  2.04544190677464647e-06 
 5.88843655355587625e+00  2.36747741636650355e-15  7.51388705826105431e-14  1.25584309007242823e-03  2.09308636931958545e-06 
 6.02559586074356357e+00  2.37274934943021432e-15  7.68890797796268493e-14  1.25584309024184826e-03  2.14184061396281072e-06 
 6.16595001861480707e+00  2.36160917210792576e-15  7.86800565135758274e-14  1.25584309042003905e-03  2.19173049085013137e-06 
 6.30957344480191740e+00  2.33936947504481685e-15  8.05127504936798067e-14  1.25584309060544630e-03  2.24278245225464460e-06 
 6.45654229034653948e+00  2.34666073465478187e-15  8.23881334255479654e-14  1.25584309080073453e-03  2.29502356660203268e-06 
 6.60693448007594419e+00  2.32592536810599659e-15  8.43071995670417024e-14  1.25584309100401637e-03  2.34848153282262651e-06 
 6.76082975391980145e+00  2.32438038001020475e-15  8.62709665488378051e-14  1.25584309121806736e-03  2.40318469503777152e-06 
 6.91830970918934796e+00  2.31802424477400848e-15  8.82804755332471265e-14  1.25584309144166628e-03  2.45916205758804585e-06 
 7.07945784384136179e+00  2.30814445247723432e-15  9.03367919818381942e-14  1.25584309167636743e-03  2.51644330041208545e-06 
 7.24435960074988294e+00  2.29422600708795166e-15  9.24410062377723613e-14  1.25584309192050547e-03  2.57505879478300186e-06 
