 time                   v(q)                   v(qb)                  v(inp)                 v(inn)                 v(clk)                
 0.000000000000000e+00  6.170240450364221e-01  6.170240450362949e-01  7.500000009304397e-01  7.500000009304397e-01  0.000000000000000e+00 
 2.000000000000000e-12  6.170240450364294e-01  6.170240450362930e-01  7.500000009304397e-01  7.500000009304395e-01  0.000000000000000e+00 
 4.000000000000001e-12  6.170240450364359e-01  6.170240450362909e-01  7.500000009304397e-01  7.500000009304393e-01  0.000000000000000e+00 
 8.000000000000001e-12  6.170240450364475e-01  6.170240450362853e-01  7.500000009304397e-01  7.500000009304388e-01  0.000000000000000e+00 
 1.600000000000000e-11  6.170240450364760e-01  6.170240450362983e-01  7.500000009304397e-01  7.500000009304386e-01  0.000000000000000e+00 
 3.200000000000001e-11  6.170240450365355e-01  6.170240450363269e-01  7.500000009304398e-01  7.500000009304394e-01  0.000000000000000e+00 
 6.400000000000001e-11  6.170240450365870e-01  6.170240450363024e-01  7.500000009304402e-01  7.500000009304401e-01  0.000000000000000e+00 
 1.280000000000000e-10  6.170240450367445e-01  6.170240450362929e-01  7.500000009304405e-01  7.500000009304407e-01  0.000000000000000e+00 
 2.560000000000000e-10  6.170240450390582e-01  6.170240450341671e-01  7.500000009304424e-01  7.500000009304431e-01  0.000000000000000e+00 
 4.560000000000001e-10  6.170240450182080e-01  6.170240450550392e-01  7.500000009304518e-01  7.500000009304514e-01  0.000000000000000e+00 
 6.560000000000001e-10  6.170240451734852e-01  6.170240448984435e-01  7.500000009304492e-01  7.500000009304375e-01  0.000000000000000e+00 
 8.560000000000001e-10  6.170240440119890e-01  6.170240460702947e-01  7.500000009305470e-01  7.500000009305592e-01  0.000000000000000e+00 
 1.056000000000000e-09  6.170240526989895e-01  6.170240373059074e-01  7.500000009298868e-01  7.500000009296568e-01  0.000000000000000e+00 
 1.256000000000000e-09  6.170239877240471e-01  6.170241028587031e-01  7.500000009348653e-01  7.500000009363981e-01  0.000000000000000e+00 
 1.456000000000000e-09  6.170244737076246e-01  6.170236125531458e-01  7.500000008976470e-01  7.500000008859919e-01  0.000000000000000e+00 
 1.656000000000000e-09  6.170208387734630e-01  6.170272798178457e-01  7.500000011760449e-01  7.500000012630599e-01  0.000000000000000e+00 
 1.856000000000000e-09  6.170480265090987e-01  6.169998504449127e-01  7.499999990937891e-01  7.499999984427700e-01  0.000000000000000e+00 
 2.056000000000000e-09  6.168446599555399e-01  6.172049938644956e-01  7.500000146656887e-01  7.500000195349519e-01  0.000000000000000e+00 
 2.256000000000000e-09  6.183647943761458e-01  6.156695791834901e-01  7.499998980368959e-01  7.499998616290637e-01  0.000000000000000e+00 
 2.373082030804021e-09  6.271085164399094e-01  6.067640286697906e-01  7.499992178136399e-01  7.499989434927632e-01  0.000000000000000e+00 
 2.398114431189867e-09  6.310456891673365e-01  6.027321508601549e-01  7.499989079717407e-01  7.499985263815233e-01  0.000000000000000e+00 
 2.448179231961558e-09  6.445669327274035e-01  5.886795548929028e-01  7.499978171344313e-01  7.499970658166045e-01  0.000000000000000e+00 
 2.485311151389105e-09  6.619525373102442e-01  5.702316821962038e-01  7.499963632843422e-01  7.499951341142447e-01  0.000000000000000e+00 
 2.513837795128198e-09  6.820727504839224e-01  5.483410715431090e-01  7.499946071030342e-01  7.499928214282900e-01  0.000000000000000e+00 
