instance_name	Nx	ic_A	ib_A	ie_A	is_A	kcl_sum_A	ic_over_0p003_Nx_ratio	ic_over_0p003_Nx_pct	v_thermal_node_t_scalar	i_rt_bleed_A
xq1_m	1	4.9818725701e-04	5.7869374858e-07	-4.9876595141e-04	2.1956352936e-12	1.5428592833e-12	1.6606241900e-01	16.606242	8.5482707526e+00	8.5482707526e-09
xq2_m	1	4.9818725701e-04	5.7869374858e-07	-4.9876595141e-04	2.1956352936e-12	1.5428592833e-12	1.6606241900e-01	16.606242	8.5482707526e+00	8.5482707526e-09
xq3_m	1	4.9718932721e-04	5.7725208518e-07	-4.9776657995e-04	2.1956754547e-12	1.5429260073e-12	1.6572977574e-01	16.572978	8.5303392306e+00	8.5303392306e-09
xq4_m	1	4.9718932721e-04	5.7725208518e-07	-4.9776657995e-04	2.1956754547e-12	1.5429260073e-12	1.6572977574e-01	16.572978	8.5303392305e+00	8.5303392305e-09
xqclk_track_m	1	2.7172509016e-06	3.9239168777e-09	-2.7210844285e-06	1.6780940343e-12	9.2068046260e-11	9.0575030054e-04	0.090575	6.1208784721e-03	6.1208784721e-12
xqclk_latch_m	1	7.0583718233e-13	-2.4325348569e-12	1.0161105161e-12	7.0759491803e-13	-2.9922404329e-15	2.3527906078e-10	0.000000	5.8712049472e-11	5.8712049472e-20
xqef1_m	1	1.1528261897e-06	1.6776927856e-09	-1.1545041714e-06	2.5019509935e-12	2.2130288432e-12	3.8427539657e-04	0.038428	1.2485998339e-02	1.2485998339e-11
xqef2_m	1	1.1528261897e-06	1.6776927856e-09	-1.1545041714e-06	2.5019509935e-12	2.2130288432e-12	3.8427539658e-04	0.038428	1.2485998339e-02	1.2485998339e-11
xqp1_comp_m	1	3.3760512062e-04	4.4222500016e-07	-3.3804734560e-04	8.3180460925e-13	8.5202286557e-13	1.1253504021e-01	11.253504	3.1834351844e+00	3.1834351844e-09
xqp2_comp_m	4	3.4134890244e-04	4.2698866082e-07	-3.4177589092e-04	7.6677251187e-13	9.5147545925e-13	2.8445741870e-02	2.844574	7.8303027999e-01	7.8303027999e-10
xqs_comp_m	6	1.9930690196e-03	2.5931453497e-06	-1.9956621266e-03	5.4546276580e-13	3.8905314519e-11	1.1072605665e-01	11.072606	2.2214021973e+00	2.2214021973e-09
xq1_s	1	4.9718932721e-04	5.7725208624e-07	-4.9776657995e-04	2.1956754535e-12	1.5429258977e-12	1.6572977574e-01	16.572978	8.5303392242e+00	8.5303392242e-09
xq2_s	1	4.9718932721e-04	5.7725208625e-07	-4.9776657995e-04	2.1956754535e-12	1.5429260061e-12	1.6572977574e-01	16.572978	8.5303392242e+00	8.5303392242e-09
xq3_s	1	4.9818725701e-04	5.7869374965e-07	-4.9876595141e-04	2.1956352925e-12	1.5428591737e-12	1.6606241900e-01	16.606242	8.5482707462e+00	8.5482707462e-09
xq4_s	1	4.9818725701e-04	5.7869374965e-07	-4.9876595141e-04	2.1956352925e-12	1.5428592821e-12	1.6606241900e-01	16.606242	8.5482707463e+00	8.5482707463e-09
xqclk_track_s	1	7.0583718232e-13	-2.4325348569e-12	1.0161105161e-12	7.0759491803e-13	-2.9922404329e-15	2.3527906077e-10	0.000000	5.8712049472e-11	5.8712049472e-20
xqclk_latch_s	1	2.7172509022e-06	3.9239168785e-09	-2.7210844291e-06	1.6780940344e-12	9.2068046271e-11	9.0575030072e-04	0.090575	6.1208784733e-03	6.1208784733e-12
xqef1_s	1	1.1557055412e-06	1.6816680397e-09	-1.1573874982e-06	2.5019508517e-12	2.2130288373e-12	3.8523518042e-04	0.038524	1.2518050643e-02	1.2518050643e-11
xqef2_s	1	1.1557055413e-06	1.6816680398e-09	-1.1573874982e-06	2.5019508517e-12	2.2130288373e-12	3.8523518042e-04	0.038524	1.2518050642e-02	1.2518050642e-11
xqp1_comp_s	1	3.3760512062e-04	4.4222500016e-07	-3.3804734560e-04	8.3180460925e-13	8.5202286557e-13	1.1253504021e-01	11.253504	3.1834351844e+00	3.1834351844e-09
xqp2_comp_s	4	3.4134890244e-04	4.2698866082e-07	-3.4177589092e-04	7.6677251187e-13	9.5147545925e-13	2.8445741870e-02	2.844574	7.8303027999e-01	7.8303027999e-10
xqs_comp_s	6	1.9930690196e-03	2.5931453497e-06	-1.9956621266e-03	5.4546276580e-13	3.8905314519e-11	1.1072605665e-01	11.072606	2.2214021972e+00	2.2214021972e-09
