Device;Net1;Net2;Capacitance [fF];Resistance [Ω]
C1;CTX_L126_0,CTX_L134_0;CTX_L134_1;0.407;
C2;CTX_L126_0,CTX_L134_0;CTX_L30_0;0.133;
C3;CTX_L126_0,CTX_L134_0;CTX_L30_1;0.063;
C4;CTX_L126_0,CTX_L134_0;CTX_L30_10;0.002;
C5;CTX_L126_0,CTX_L134_0;CTX_L30_11;0.002;
C6;CTX_L126_0,CTX_L134_0;CTX_L30_12;0.001;
C7;CTX_L126_0,CTX_L134_0;CTX_L30_2;0.004;
C8;CTX_L126_0,CTX_L134_0;CTX_L30_5;0.014;
C9;CTX_L126_0,CTX_L134_0;CTX_L30_7;0.008;
C10;CTX_L126_0,CTX_L134_0;CTX_L30_8;0.005;
C11;CTX_L126_0,CTX_L134_0;CTX_L30_9;0.002;
C12;CTX_L126_0,CTX_L134_0;CTX_L67_0;0.159;
C13;CTX_L126_0,CTX_L134_0;CTX_L67_1;0.187;
C14;CTX_L126_0,CTX_L134_0;CTX_L67_4;0.036;
C15;CTX_L126_0,CTX_L134_0;CTX_L67_5;0.029;
C16;CTX_L126_0,CTX_L134_0;CTX_L67_6;0.017;
C17;CTX_L126_0,CTX_L134_0;CTX_L67_7;0.012;
C18;CTX_L126_0,CTX_L134_0;CTX_L8_0;0.067;
C19;CTX_L126_0,CTX_L134_0;N;0.074;
C20;CTX_L126_0,CTX_L134_0;P;0.233;
C21;CTX_L126_0,CTX_L134_0;VSUBS;1.897;
C22;CTX_L134_1;CTX_L30_0;0.076;
C23;CTX_L134_1;CTX_L30_1;0.014;
C24;CTX_L134_1;CTX_L30_10;0.032;
C25;CTX_L134_1;CTX_L30_11;0.032;
C26;CTX_L134_1;CTX_L30_12;0.036;
C27;CTX_L134_1;CTX_L30_13;0.028;
C28;CTX_L134_1;CTX_L30_14;0.081;
C29;CTX_L134_1;CTX_L30_2;0.001;
C30;CTX_L134_1;CTX_L30_3;0.001;
C31;CTX_L134_1;CTX_L30_4;0.003;
C32;CTX_L134_1;CTX_L30_5;0.029;
C33;CTX_L134_1;CTX_L30_6;0.021;
C34;CTX_L134_1;CTX_L30_7;0.052;
C35;CTX_L134_1;CTX_L30_8;0.035;
C36;CTX_L134_1;CTX_L30_9;0.032;
C37;CTX_L134_1;CTX_L67_0;0.087;
C38;CTX_L134_1;CTX_L67_1;0.048;
C39;CTX_L134_1;CTX_L67_4;0.035;
C40;CTX_L134_1;CTX_L67_5;0.043;
C41;CTX_L134_1;CTX_L67_6;0.052;
C42;CTX_L134_1;CTX_L67_7;0.12;
C43;CTX_L134_1;CTX_L8_0;0.041;
C44;CTX_L134_1;N;0.032;
C45;CTX_L134_1;P;0.05;
C46;CTX_L134_1;VSUBS;2.746;
C47;CTX_L30_0;CTX_L30_1;0.145;
C48;CTX_L30_0;CTX_L67_0;0.085;
C49;CTX_L30_0;CTX_L67_1;0.031;
C50;CTX_L30_0;CTX_L8_0;0.033;
C51;CTX_L30_0;VSUBS;1.182;
C52;CTX_L30_1;CTX_L30_2;4.306;
C53;CTX_L30_1;CTX_L67_0;0.006;
C54;CTX_L30_1;CTX_L67_1;0.007;
C55;CTX_L30_1;P;0.092;
C56;CTX_L30_1;VSUBS;0.609;
C57;CTX_L30_10;CTX_L30_11;4.306;
C58;CTX_L30_10;CTX_L30_9;4.306;
C59;CTX_L30_10;CTX_L67_7;0.01;
C60;CTX_L30_10;VSUBS;0.121;
C61;CTX_L30_11;CTX_L30_12;4.306;
C62;CTX_L30_11;CTX_L67_7;0.008;
C63;CTX_L30_11;VSUBS;0.121;
C64;CTX_L30_12;CTX_L30_13;0.742;
C65;CTX_L30_12;CTX_L67_7;0.007;
C66;CTX_L30_12;VSUBS;0.234;
C67;CTX_L30_13;CTX_L30_14;0.564;
C68;CTX_L30_13;CTX_L67_7;0.005;
C69;CTX_L30_13;VSUBS;0.388;
C70;CTX_L30_14;VSUBS;1.135;
C71;CTX_L30_2;CTX_L30_3;4.306;
C72;CTX_L30_2;N;0.092;
C73;CTX_L30_2;VSUBS;0.121;
C74;CTX_L30_3;CTX_L30_4;4.306;
C75;CTX_L30_3;CTX_L67_4;0.092;
C76;CTX_L30_3;VSUBS;0.121;
C77;CTX_L30_4;CTX_L30_5;4.306;
C78;CTX_L30_4;CTX_L67_5;0.092;
C79;CTX_L30_4;VSUBS;0.121;
C80;CTX_L30_5;CTX_L30_6;4.306;
C81;CTX_L30_5;CTX_L67_5;0.051;
C82;CTX_L30_5;CTX_L67_6;0.051;
C83;CTX_L30_5;VSUBS;0.121;
C84;CTX_L30_6;CTX_L30_7;0.213;
C85;CTX_L30_6;CTX_L67_6;0.092;
C86;CTX_L30_6;CTX_L67_7;0.031;
C87;CTX_L30_6;VSUBS;0.499;
C88;CTX_L30_7;CTX_L30_8;1.267;
C89;CTX_L30_7;CTX_L67_7;0.032;
C90;CTX_L30_7;VSUBS;0.556;
C91;CTX_L30_8;CTX_L30_9;4.306;
C92;CTX_L30_8;CTX_L67_7;0.013;
C93;CTX_L30_8;VSUBS;0.178;
C94;CTX_L30_9;CTX_L67_7;0.011;
C95;CTX_L30_9;VSUBS;0.121;
C96;CTX_L67_0;CTX_L67_1;4.409;
C97;CTX_L67_0;CTX_L8_0;0.026;
C98;CTX_L67_0;VSUBS;0.573;
C99;CTX_L67_1;CTX_L8_0;0.005;
C100;CTX_L67_1;P;0.239;
C101;CTX_L67_1;VSUBS;0.424;
C102;CTX_L67_4;CTX_L67_5;4.409;
C103;CTX_L67_4;N;4.409;
C104;CTX_L67_4;VSUBS;0.052;
C105;CTX_L67_5;CTX_L67_6;1.608;
C106;CTX_L67_5;VSUBS;0.072;
C107;CTX_L67_6;CTX_L67_7;1.608;
C108;CTX_L67_6;VSUBS;0.11;
C109;CTX_L67_7;VSUBS;0.558;
C110;CTX_L8_0;VSUBS;1.786;
C111;N;P;4.409;
C112;N;VSUBS;0.052;
C113;P;VSUBS;0.395;
