 frequency                ir                       ii                       vr                       vi                      
 1.00000000000000000e+00  1.81690600065120833e-15  8.93903169959993246e-15  9.02386960443868347e-04  4.37521739514632415e-07 
 1.02329299228075410e+00  1.81452753213531826e-15  9.14724849496975977e-15  9.02386960451195819e-04  4.47712930015806341e-07 
 1.04712854805089939e+00  1.80867284040389653e-15  9.36031528188155699e-15  9.02386960460077603e-04  4.58141503838655048e-07 
 1.07151930523760619e+00  1.80700587956370007e-15  9.57834503666338662e-15  9.02386960468293253e-04  4.68812990351059019e-07 
 1.09647819614318465e+00  1.81742777294671698e-15  9.80145333629915702e-15  9.02386960477730149e-04  4.79733047716419048e-07 
 1.12201845430196312e+00  1.80800199030967113e-15  1.00297585271734674e-14  9.02386960487389089e-04  4.90907465893696425e-07 
 1.14815362149688238e+00  1.81313162183824317e-15  1.02633816158837668e-14  9.02386960497381097e-04  5.02342169707319115e-07 
 1.17489755493952908e+00  1.80668739517553245e-15  1.05024464809985914e-14  9.02386960507262081e-04  5.14043221988604711e-07 
 1.20226443461741250e+00  1.82005696321499433e-15  1.07470798862924534e-14  9.02386960518364312e-04  5.26016826790353601e-07 
 1.23026877081238117e+00  1.79128494806266025e-15  1.09974115403028463e-14  9.02386960529910631e-04  5.38269332676323119e-07 
 1.25892541179416684e+00  1.79946389820134778e-15  1.12535741625046929e-14  9.02386960541901040e-04  5.50807236087315941e-07 
 1.28824955169313360e+00  1.80890323336554970e-15  1.15157035627196846e-14  9.02386960554224515e-04  5.63637184785674184e-07 
 1.31825673855640679e+00  1.81744132547387305e-15  1.17839387668477345e-14  9.02386960567658214e-04  5.76765981380026177e-07 
 1.34896288259165331e+00  1.79974850127162522e-15  1.20584219573099729e-14  9.02386960581202935e-04  5.90200586932105852e-07 
 1.38038426460288455e+00  1.79760042571738832e-15  1.23392986914244298e-14  9.02386960595302767e-04  6.03948124647605422e-07 
 1.41253754462275394e+00  1.80153743485622631e-15  1.26267178881711441e-14  9.02386960610623845e-04  6.18015883652990900e-07 
 1.44543977074592700e+00  1.80088691355273500e-15  1.29208319274538380e-14  9.02386960626166967e-04  6.32411322860294586e-07 
 1.47910838816820678e+00  1.80008731445052694e-15  1.32217967625964798e-14  9.02386960642931335e-04  6.47142074921933175e-07 
 1.51356124843620754e+00  1.80159842122842861e-15  1.35297719799002882e-14  9.02386960659917747e-04  6.62215950277636366e-07 
 1.54881661891248057e+00  1.79523550972865431e-15  1.38449208383484014e-14  9.02386960678347450e-04  6.77640941295636254e-07 
 1.58489319246111271e+00  1.80467484489285623e-15  1.41674104945990042e-14  9.02386960697443286e-04  6.93425226510345745e-07 
 1.62181009735892911e+00  1.80082592718053269e-15  1.44974118640189847e-14  9.02386960717427300e-04  7.09577174958721386e-07 
 1.65958690743755977e+00  1.78540992754050443e-15  1.48350999714085143e-14  9.02386960737966426e-04  7.26105350617622810e-07 
 1.69824365246174347e+00  1.79802055405922645e-15  1.51806538385044842e-14  9.02386960759948842e-04  7.43018516944557947e-07 
 1.73780082874937447e+00  1.79875239052565417e-15  1.55342566957387421e-14  9.02386960782708414e-04  7.60325641524189936e-07 
 1.77827941003892165e+00  1.79440880557213411e-15  1.58960960153253172e-14  9.02386960806245142e-04  7.78035900823057680e-07 
 1.81970085860998210e+00  1.79027528478953313e-15  1.62663636634616523e-14  9.02386960831447205e-04  7.96158685055062698e-07 
 1.86208713666286596e+00  1.78813398549887426e-15  1.66452559400332735e-14  9.02386960857537446e-04  8.14703603160287171e-07 
 1.90546071796324568e+00  1.80137480453035348e-15  1.70329737639022477e-14  9.02386960884959954e-04  8.33680487899783517e-07 
 1.94984459975804381e+00  1.80101566256071766e-15  1.74297226927595166e-14  9.02386960914047798e-04  8.53099401069029036e-07 
 1.99526231496887796e+00  1.79114264652752153e-15  1.78357130951784647e-14  9.02386960943579730e-04  8.72970638832824869e-07 
 2.04173794466952740e+00  1.80258775571082164e-15  1.82511602234068131e-14  9.02386960975110064e-04  8.93304737184460075e-07 
 2.08929613085403743e+00  1.78749024045896099e-15  1.86762843390980723e-14  9.02386961007972666e-04  9.14112477532031674e-07 
 2.13796208950222999e+00  1.78783582990144074e-15  1.91113109052174447e-14  9.02386961042833669e-04  9.35404892414900914e-07 
 2.18776162394955032e+00  1.78353290252938890e-15  1.95564705132499306e-14  9.02386961079026939e-04  9.57193271353269454e-07 
 2.23872113856833721e+00  1.79539814005452714e-15  2.00119992471597973e-14  9.02386961116996567e-04  9.79489166834062951e-07 
 2.29086765276777049e+00  1.79758687319023225e-15  2.04781385907463513e-14  9.02386961156187439e-04  1.00230440043617622e-06 
 2.34422881531991933e+00  1.79328394581818040e-15  2.09551357188115131e-14  9.02386961197709780e-04  1.02565106909846445e-06 
 2.39883291901948770e+00  1.78443414558526747e-15  2.14432435103947076e-14  9.02386961241119501e-04  1.04954155153368658e-06 
 2.45470891568502747e+00  1.77956878833623877e-15  2.19427208399404394e-14  9.02386961286194555e-04  1.07398851479185347e-06 
 2.51188643150957702e+00  1.78772740968419219e-15  2.24538324581842846e-14  9.02386961334489257e-04  1.09900492097647445e-06 
 2.57039578276886038e+00  1.78040226875633700e-15  2.29768494024344748e-14  9.02386961384227249e-04  1.12460403411724484e-06 
 2.63026799189537819e+00  1.77550980645299616e-15  2.35120489833370072e-14  9.02386961436518753e-04  1.15079942720280192e-06 
 2.69153480392691202e+00  1.78092404105184565e-15  2.40597149436943221e-14  9.02386961491141726e-04  1.17760498937727944e-06 
 2.75422870333816272e+00  1.77524553217345282e-15  2.46201377099282095e-14  9.02386961548540256e-04  1.20503493330456434e-06 
 2.81838293126444972e+00  1.77372087286839508e-15  2.51936143920798085e-14  9.02386961608270255e-04  1.23310380270400415e-06 
 2.88403150312660150e+00  1.76736473763219881e-15  2.57804490617422936e-14  9.02386961671330923e-04  1.26182648006169243e-06 
 2.95120922666638119e+00  1.76492528274410643e-15  2.63809528711748828e-14  9.02386961737167148e-04  1.29121819452135042e-06 
 3.01995172040201165e+00  1.76127965293912392e-15  2.69954442121215151e-14  9.02386961805667909e-04  1.32129452995903369e-06 
 3.09029543251358563e+00  1.77378185924059739e-15  2.76242488613946384e-14  9.02386961877943428e-04  1.35207143324588961e-06 
 3.16227766016837419e+00  1.77115266897232004e-15  2.82677003117474544e-14  9.02386961953105526e-04  1.38356522270342828e-06 
 3.23593656929627738e+00  1.76426798517703709e-15  2.89261396130552413e-14  9.02386962032375450e-04  1.41579259675568774e-06 
 3.31131121482590540e+00  1.76201148940555163e-15  2.95999159811202842e-14  9.02386962115309110e-04  1.44877064278296615e-06 
 3.38844156139201980e+00  1.75213847337235551e-15  3.02893866123834181e-14  9.02386962201684462e-04  1.48251684618180346e-06 
 3.46736850452531042e+00  1.75218590721740175e-15  3.09949170412660528e-14  9.02386962292833772e-04  1.51704909963589237e-06 
 3.54813389233574838e+00  1.75882664552387546e-15  3.17168814181028583e-14  9.02386962387868863e-04  1.55238571260310948e-06 
 3.63078054770100689e+00  1.75108815251776018e-15  3.24556624959068749e-14  9.02386962487122801e-04  1.58854542102339741e-06 
 3.71535229097171849e+00  1.75397484080200283e-15  3.32116520009464284e-14  9.02386962591705810e-04  1.62554739725277816e-06 
 3.80189396320560480e+00  1.74460326827358125e-15  3.39852507650940271e-14  9.02386962700396644e-04  1.66341126022884057e-06 
 3.89045144994279868e+00  1.73419492741772041e-15  3.47768689640543790e-14  9.02386962814416549e-04  1.70215708587290838e-06 
 3.98107170553496470e+00  1.74286176853402641e-15  3.55869263026528486e-14  9.02386962934320636e-04  1.74180541773460590e-06 
 4.07380277804111923e+00  1.73754240162526941e-15  3.64158523192379224e-14  9.02386963059775837e-04  1.78237727788430337e-06 
 4.16869383470334576e+00  1.73340210457909039e-15  3.72640864783254375e-14  9.02386963191004199e-04  1.82389417805925405e-06 
 4.26579518801591817e+00  1.73763049305178385e-15  3.81320785676452759e-14  9.02386963328227765e-04  1.86637813106949377e-06 
 4.36515832240165125e+00  1.72160462968973249e-15  3.90202888040204823e-14  9.02386963471890624e-04  1.90985166246922948e-06 
 4.46683592150962205e+00  1.70576172544428806e-15  3.99291880848301711e-14  9.02386963622658911e-04  1.95433782250027190e-06 
 4.57088189614874096e+00  1.71437435645196978e-15  4.08592583718213299e-14  9.02386963780310580e-04  1.99986019831351902e-06 
 4.67735141287197198e+00  1.70364753120794132e-15  4.18109927440483791e-14  9.02386963945511766e-04  2.04644292647514194e-06 
 4.78630092322637335e+00  1.70156721828948476e-15  4.27848958743292046e-14  9.02386964118706558e-04  2.09411070576422761e-06 
 4.89778819368445184e+00  1.69174163610133488e-15  4.37814842145336152e-14  9.02386964299117800e-04  2.14288881026832322e-06 
 5.01187233627271223e+00  1.70204833300352520e-15  4.48012859691135628e-14  9.02386964489632071e-04  2.19280310278409038e-06 
 5.12861383991363784e+00  1.68501280636834672e-15  4.58448419950756487e-14  9.02386964687917903e-04  2.24388004853008917e-06 
 5.24807460249771474e+00  1.67322888400614489e-15  4.69127055637531077e-14  9.02386964895307564e-04  2.29614672917903727e-06 
 5.37031796370251602e+00  1.67818910894526607e-15  4.80054428637316201e-14  9.02386965113355366e-04  2.34963085721686239e-06 
 5.49540873857623335e+00  1.67515334286230666e-15  4.91236332920168874e-14  9.02386965341617220e-04  2.40436079063620229e-06 
 5.62341325190347785e+00  1.66650683053673476e-15  5.02678696922626489e-14  9.02386965579982103e-04  2.46036554797215268e-06 
 5.75439937337155616e+00  1.65093497683441170e-15  5.14387588576964937e-14  9.02386965829560239e-04  2.51767482368838653e-06 
 5.88843655355587625e+00  1.65349640446690871e-15  5.26369215046500817e-14  9.02386966092016962e-04  2.57631900392146958e-06 
 6.02559586074356357e+00  1.63326925768647602e-15  5.38629929078338537e-14  9.02386966365575915e-04  2.63632918259197973e-06 
 6.16595001861480707e+00  1.62715029167551095e-15  5.51176231915046069e-14  9.02386966652679590e-04  2.69773717789097923e-06 
 6.30957344480191740e+00  1.62426360339126830e-15  5.64014776206330708e-14  9.02386966953327985e-04  2.76057554915044492e-06 
 6.45654229034653948e+00  1.60577118008681241e-15  5.77152368391319233e-14  9.02386967267521101e-04  2.82487761410650439e-06 
 6.60693448007594419e+00  1.60319619992715934e-15  5.90595974786607220e-14  9.02386967597479384e-04  2.89067746656520721e-06 
 6.76082975391980145e+00  1.59299792324221756e-15  6.04352722115654629e-14  9.02386967942536700e-04  2.95800999447921178e-06 
 6.91830970918934796e+00  1.56914547544753646e-15  6.18429905714417484e-14  9.02386968303581227e-04  3.02691089844613323e-06 
 7.07945784384136179e+00  1.57174078439792364e-15  6.32834989266650076e-14  9.02386968682167279e-04  3.09741671063721106e-06 
 7.24435960074988294e+00  1.55576913114449655e-15  6.47575610362558678e-14  9.02386969078294854e-04  3.16956481416733957e-06 
 7.41310241300915695e+00  1.55587755136174510e-15  6.62659584469268487e-14  9.02386969493296220e-04  3.24339346291598349e-06 
 7.58577575029181883e+00  1.53096800644889064e-15  6.78094909165988360e-14  9.02386969927726490e-04  3.31894180180997993e-06 
 7.76247116628689771e+00  1.51834382740301255e-15  6.93889769702664530e-14  9.02386970382584863e-04  3.39624988757852605e-06 
 7.94328234724279447e+00  1.51164887898791456e-15  7.10052539264678401e-14  9.02386970858759518e-04  3.47535870999206896e-06 
 8.12830516164097183e+00  1.50321243083326173e-15  7.26591788237269411e-14  9.02386971357915790e-04  3.55631021359532635e-06 
 8.31763771102668947e+00  1.47930577292995635e-15  7.43516285793721806e-14  9.02386971879387545e-04  3.63914731994701231e-06 
 8.51138038202374325e+00  1.46830112087922848e-15  7.60835005189320561e-14  9.02386972426505451e-04  3.72391395037740488e-06 
 8.70963589956078366e+00  1.44006443054955913e-15  7.78557129849400688e-14  9.02386972999491555e-04  3.81065504927596767e-06 
 8.91250938133743098e+00  1.42756222424808565e-15  7.96692055486929607e-14  9.02386973598678921e-04  3.89941660792143726e-06 
 9.12010839355907166e+00  1.41328463688916717e-15  8.15249399102232206e-14  9.02386974226732086e-04  3.99024568886715936e-06 
 9.33254300796988367e+00  1.38764325550988499e-15  8.34238998453595251e-14  9.02386974884206161e-04  4.08319045089407378e-06 
