artifact	stage	bytes	sha256	note
tb_p1_top_v3_tran_smoke.cir	frozen executed	3935	05f78e7e136a770c8583a7aed69b6a5e81683f22fe0e1c5623d1579a9cb94a34	private runtime paths; not published verbatim
log_tb_p1_top_v3_tran_smoke.log	frozen executed	8538	da72544aff84a664b216917cff5c339266eae01652f4197d188984cd375feffc	published verbatim
raw_tb_p1_top_v3_tran_smoke.raw	frozen executed	848906	9c3be452913c6dbb7163b4e930ea1d41cedbddd9831b21ff84d140d688e4d21f	published verbatim
p1_top_hier.spice	frozen input	8339	b8ac82719ffcd365b91fbd7c997b45d9d422e684077fe82f05a691cb7dcbd4ca	public path-sanitized copy is in source-backed-v3
