raw_key	min_v	max_v	peak_to_peak_v	final_v	midpoint_crossings
v(clk_out_div)	-1.575584126494e-01	1.403177207446e+00	1.560735620095e+00	-7.297706211095e-07	100
v(pbit_out)	3.333513352359e-03	3.421687163570e-03	8.817381121096e-05	3.385077565167e-03	293
v(pbit_raw)	7.905002434414e-01	7.910659898211e-01	5.657463797416e-04	7.906286074028e-01	101
v(x1.net1)	1.439125255859e+00	1.439336303801e+00	2.110479416086e-04	1.439238734220e+00	400
v(x1.net2)	1.439125255858e+00	1.439336303805e+00	2.110479463986e-04	1.439238734220e+00	400
v(x1.net3)	2.136131065285e+00	2.140371262553e+00	4.240197267821e-03	2.138216175180e+00	300
v(x1.net4)	2.136131065153e+00	2.140371263670e+00	4.240198517626e-03	2.138216175164e+00	300
v(x1.x3.cml_out_n)	6.357630635446e-01	6.360813576816e-01	3.182941370540e-04	6.359387911325e-01	101
v(x1.x3.cml_out_p)	5.990910093050e-01	5.993947327501e-01	3.037234451402e-04	5.992785849778e-01	101
