baseline_frequency_MHz,candidate,candidate_frequency_MHz,code,duty_change_percentage_points,frequency_change_percent,name,status
12.92677589016687,r098,13.16738044841514,0,-0.007892788313370147,1.8612882306661804,tt_typ_typ_1.2_27_c0,passed
11.69879076619124,r098,11.91654935816869,2,0.017908497288154024,1.8613769262953106,tt_typ_typ_1.2_27_c2,passed
10.6037297134745,r098,10.80488272650411,4,0.0036656603393296905,1.897002455409602,tt_typ_typ_1.2_27_c4,passed
9.778048086484882,r098,9.962143853357244,6,-0.007793030293257175,1.882745566845978,tt_typ_typ_1.2_27_c6,passed
8.994415367498318,r098,9.164869588488191,8,-0.025384704029349336,1.8951117335076262,tt_typ_typ_1.2_27_c8,passed
8.385413740506662,r098,8.545993253792926,10,0.007889782865511563,1.91498616830994,tt_typ_typ_1.2_27_c10,passed
7.823930273133404,r098,7.974240015055364,12,-0.03206531171296234,1.921153904427153,tt_typ_typ_1.2_27_c12,passed
7.366922077855105,r098,7.508567275261073,14,-0.017585707330475486,1.9227188221761171,tt_typ_typ_1.2_27_c14,passed
9.97481359567093,r098,10.15834626998731,0,-0.007990295726415297,1.8399609431902997,ss_wcs_wcs_1.08_125_c0,passed
9.03161244989713,r098,9.1988788406469,2,0.00036099980279402644,1.8520102769874258,ss_wcs_wcs_1.08_125_c2,passed
8.198065256599442,r098,8.350779503512754,4,-0.014532145886811065,1.8628083838485798,ss_wcs_wcs_1.08_125_c4,passed
7.561345193555314,r098,7.703353115544133,6,-0.0031006095893104657,1.8780774895696517,ss_wcs_wcs_1.08_125_c6,passed
6.963739806825859,r098,7.094865445876819,8,-0.008266063448438388,1.8829772893357077,ss_wcs_wcs_1.08_125_c8,passed
6.494771708774437,r098,6.617682580207967,10,-0.004183218665112065,1.892458687462062,ss_wcs_wcs_1.08_125_c10,passed
6.063126851527363,r098,6.178442056407942,12,-0.015113302230780334,1.901909818224068,ss_wcs_wcs_1.08_125_c12,passed
5.709835305510446,r098,5.818841992255121,14,0.00020459494239588594,1.9091038692389928,ss_wcs_wcs_1.08_125_c14,passed
