Device;Net1;Net2;Capacitance [fF];Resistance [Ω]
C1;CTX_L126_0,CTX_L134_0;FILL_L10_0;0.027;
C2;CTX_L126_0,CTX_L134_0;FILL_L10_1;0.086;
C3;CTX_L126_0,CTX_L134_0;FILL_L10_2;0.01;
C4;CTX_L126_0,CTX_L134_0;FILL_L10_3;0.047;
C5;CTX_L126_0,CTX_L134_0;FILL_L10_4;0.157;
C6;CTX_L126_0,CTX_L134_0;FILL_L10_5;0.082;
C7;CTX_L126_0,CTX_L134_0;FILL_L10_6;0.042;
C8;CTX_L126_0,CTX_L134_0;FILL_L10_7;0.12;
C9;CTX_L126_0,CTX_L134_0;FILL_L10_8;0.082;
C10;CTX_L126_0,CTX_L134_0;FILL_L30_0;0.014;
C11;CTX_L126_0,CTX_L134_0;FILL_L30_1;0.026;
C12;CTX_L126_0,CTX_L134_0;FILL_L30_10;0.074;
C13;CTX_L126_0,CTX_L134_0;FILL_L30_11;0.034;
C14;CTX_L126_0,CTX_L134_0;FILL_L30_2;0.008;
C15;CTX_L126_0,CTX_L134_0;FILL_L30_3;0.005;
C16;CTX_L126_0,CTX_L134_0;FILL_L30_4;0.035;
C17;CTX_L126_0,CTX_L134_0;FILL_L30_5;0.034;
C18;CTX_L126_0,CTX_L134_0;FILL_L30_6;0.028;
C19;CTX_L126_0,CTX_L134_0;FILL_L30_7;0.052;
C20;CTX_L126_0,CTX_L134_0;FILL_L30_8;0.014;
C21;CTX_L126_0,CTX_L134_0;FILL_L30_9;0.01;
C22;CTX_L126_0,CTX_L134_0;FILL_L50_0;0.035;
C23;CTX_L126_0,CTX_L134_0;FILL_L50_1;0.048;
C24;CTX_L126_0,CTX_L134_0;FILL_L50_2;0.076;
C25;CTX_L126_0,CTX_L134_0;FILL_L50_3;0.414;
C26;CTX_L126_0,CTX_L134_0;FILL_L50_4;0.074;
C27;CTX_L126_0,CTX_L134_0;FILL_L50_5;0.073;
C28;CTX_L126_0,CTX_L134_0;FILL_L50_6;0.469;
C29;CTX_L126_0,CTX_L134_0;FILL_L50_7;0.036;
C30;CTX_L126_0,CTX_L134_0;FILL_L50_8;0.095;
C31;CTX_L126_0,CTX_L134_0;FILL_L8_0;0.005;
C32;CTX_L126_0,CTX_L134_0;FILL_L8_1;0.014;
C33;CTX_L126_0,CTX_L134_0;FILL_L8_2;0.005;
C34;CTX_L126_0,CTX_L134_0;FILL_L8_3;0.009;
C35;CTX_L126_0,CTX_L134_0;FILL_L8_4;0.025;
C36;CTX_L126_0,CTX_L134_0;FILL_L8_5;0.01;
C37;CTX_L126_0,CTX_L134_0;FILL_L8_6;0.007;
C38;CTX_L126_0,CTX_L134_0;FILL_L8_7;0.017;
C39;CTX_L126_0,CTX_L134_0;FILL_L8_8;0.01;
C40;CTX_L126_0,CTX_L134_0;P,PSEG_L50_0;0.375;
C41;CTX_L126_0,CTX_L134_0;VSUBS;3.084;
C42;FILL_L10_0;FILL_L10_1;0.056;
