 frequency              onoise_spectrum        inoise_spectrum       
 1.000000000000000e+00  2.414494742505335e-04  1.208040277938494e-05 
 1.059253725177289e+00  2.342732247984326e-04  1.172135464272693e-05 
 1.122018454301963e+00  2.273121506088371e-04  1.137307233543049e-05 
 1.188502227437018e+00  2.205597385616159e-04  1.103522998760183e-05 
 1.258925411794167e+00  2.140096746339352e-04  1.070751169075026e-05 
 1.333521432163324e+00  2.076558377538540e-04  1.038961119026610e-05 
 1.412537544622754e+00  2.014922938454818e-04  1.008123158748308e-05 
 1.496235656094433e+00  1.955132900596774e-04  9.782085051023743e-06 
 1.584893192461113e+00  1.897132491844538e-04  9.491892537136216e-06 
 1.678804018122560e+00  1.840867642294447e-04  9.210383518739603e-06 
 1.778279410038923e+00  1.786285931789616e-04  8.937295722904582e-06 
 1.883649089489801e+00  1.733336539083475e-04  8.672374876504167e-06 
 1.995262314968880e+00  1.681970192585004e-04  8.415374459778084e-06 
 2.113489039836647e+00  1.632139122635999e-04  8.166055467562385e-06 
 2.238721138568339e+00  1.583797015272272e-04  7.924186177943670e-06 
 2.371373705661655e+00  1.536898967422278e-04  7.689541928105000e-06 
 2.511886431509580e+00  1.491401443498019e-04  7.461904897137926e-06 
 2.660725059798810e+00  1.447262233334590e-04  7.241063895602072e-06 
 2.818382931264454e+00  1.404440411436094e-04  7.026814161620914e-06 
 2.985382618917960e+00  1.362896297486965e-04  6.818957163308668e-06 
 3.162277660168379e+00  1.322591418089059e-04  6.617300407330096e-06 
 3.349654391578276e+00  1.283488469686093e-04  6.421657253400978e-06 
 3.548133892335754e+00  1.245551282638281e-04  6.231846734543294e-06 
 3.758374042884441e+00  1.208744786411115e-04  6.047693382914819e-06 
 3.981071705534972e+00  1.173034975843460e-04  5.869027061038811e-06 
 4.216965034285822e+00  1.138388878461148e-04  5.695682798264645e-06 
 4.466835921509631e+00  1.104774522803385e-04  5.527500632295865e-06 
 4.731512589614804e+00  1.072160907730303e-04  5.364325455627098e-06 
 5.011872336272723e+00  1.040517972680960e-04  5.206006866736415e-06 
 5.308844442309884e+00  1.009816568852078e-04  5.052399025884391e-06 
 5.623413251903491e+00  9.800284312687832e-05  4.903360515376041e-06 
 5.956621435290105e+00  9.511261517194300e-05  4.758754204146074e-06 
 6.309573444801933e+00  9.230831525275516e-05  4.618447116532572e-06 
 6.683439175686147e+00  8.958736611348078e-05  4.482310305108164e-06 
 7.079457843841380e+00  8.694726854695871e-05  4.350218727442222e-06 
 7.498942093324560e+00  8.438559900767691e-05  4.222051126671261e-06 
 7.943282347242817e+00  8.190000729848968e-05  4.097689915758819e-06 
 8.413951416451953e+00  7.948821432877498e-05  3.977021065329731e-06 
 8.912509381337458e+00  7.714800994180620e-05  3.859933994967353e-06 
 9.440608762859236e+00  7.487725080918002e-05  3.746321467865798e-06 
 1.000000000000000e+01  7.267385839022292e-05  3.636079488732638e-06 
 1.059253725177289e+01  7.053581695427753e-05  3.529107204840822e-06 
 1.122018454301964e+01  6.846117166409976e-05  3.425306810131730e-06 
 1.188502227437019e+01  6.644802671821127e-05  3.324583452274372e-06 
 1.258925411794168e+01  6.449454355056126e-05  3.226845142588734e-06 
 1.333521432163325e+01  6.259893908563941e-05  3.132002668744131e-06 
 1.412537544622755e+01  6.075948404733082e-05  3.039969510146273e-06 
 1.496235656094434e+01  5.897450131983078e-05  2.950661755929419e-06 
 1.584893192461114e+01  5.724236435901598e-05  2.863998025472652e-06 
 1.678804018122561e+01  5.556149565269684e-05  2.779899391361803e-06 
 1.778279410038923e+01  5.393036522823743e-05  2.698289304721054e-06 
 1.883649089489801e+01  5.234748920601342e-05  2.619093522840653e-06 
 1.995262314968880e+01  5.081142839745557e-05  2.542240039029368e-06 
 2.113489039836647e+01  4.932078694605687e-05  2.467659014622716e-06 
 2.238721138568340e+01  4.787421101019189e-05  2.395282713080009e-06 
