point	time_s	cml_p_V	cml_diff_V	EF_P_obs	EF_P_ref	EF_P_res	EF_N_obs	EF_N_ref	EF_N_res	GP_obs	GP_ref	GP_res	GN_obs	GN_ref	GN_res	E_CM_obs	E_CM_ref	E_CM_res	CM_N_obs	CM_N_ref	CM_N_res	CM_P_obs	CM_P_ref	CM_P_res
0	0	1.7085819146077232	0.57716382921544618	0.9203211381474864	0.92032120492231384	-6.6774827445215124e-08	0.36899750516249974	0.36899790001250543	-3.9485000569161599e-07	0.36699758079285338	0.36699760741846837	-2.662561499056082e-08	0.14714567007843604	0.14714582753145694	-1.5745302089920088e-07	0.0010177328404774701	0.0010179043904539236	-1.715499764534667e-07	0.79583342547959446	0.79583345771227254	-3.2232678082166899e-08	1.1998179990689279	1.1998178406140465	1.5845488143817477e-07
1	2e-14	1.7084906785051062	0.57698135701021203	0.920312348078139	0.92023283247626164	7.9515601877355735e-05	0.36900629750126829	0.36908286674248103	-7.6569241212742778e-05	0.36699756837897213	0.36696236706168367	3.5201317288457989e-05	0.14714565988601558	0.14717970982249332	-3.4049936477736908e-05	0.001017732229708402	0.0010170922289931548	6.4000071524719128e-07	0.7958334250241097	0.79586803021717212	-3.460519306242027e-05	1.1998179985337842	1.1998175364026475	4.6213113669146821e-07
2	4e-14	1.7083994424024893	0.57679888480497832	0.92030002049524551	0.92014446003020978	0.00015556046503573118	0.36901858675180843	0.36916783347245641	-0.0001492467206479775	0.36699754629686748	0.36692712670489902	7.041959196846248e-05	0.14714564470618408	0.14721359211352963	-6.7947407345558819e-05	0.0010177307628184452	0.0010162800675323879	1.4506952860573064e-06	0.79583342390947764	0.79590260272207158	-6.9178812593939654e-05	1.199817997290332	1.1998172321912486	7.6509908342181632e-07
3	8e-14	1.7082169701972552	0.57643394039451001	0.92026919250940398	0.91996771513810549	0.0003014773712984864	0.36904918953499249	0.36933776693240761	-0.0002885773974151129	0.36699748512339653	0.36685664599132961	0.00014083913206691667	0.1471456116574219	0.14728135669560238	-0.00013574503818047923	0.0010177260050887246	0.0010146557446108506	3.0702604778740615e-06	0.79583342015743808	0.79597174773187063	-0.00013832757443255073	1.1998179934172215	1.1998166237684504	1.3696487710657124e-06
4	1.6e-13	1.7078520257867873	0.57570405157357429	0.92017408256122246	0.91961422535389736	0.00055985720732509847	0.36914241354142674	0.36967763385230956	-0.0005352203108828224	0.36699723645395232	0.3667156845641909	0.0002815518897614222	0.14714556040914839	0.14741688585974777	-0.00027132545059938007	0.0010177050625372851	0.0010114070987677795	6.2979637695055515e-06	0.79583340100192401	0.79611003775146871	-0.00027663674954470086	1.1998179790923551	1.1998154069228544	2.5721695007252521e-06
5	3.2e-13	1.7071221369658514	0.57424427393170241	0.91988103979586644	0.918907245785481	0.00097379401038544255	0.36942274305537792	0.37035736769211369	-0.00093462463673577023	0.36699592493045369	0.36643376170991337	0.00056216322054031265	0.14714564303929456	0.14768794418803857	-0.00054230114874401214	0.0010176044475740074	0.0010049098070816357	1.2694640492371756e-05	0.79583328294156319	0.79638661779066477	-0.00055333484910158326	1.1998179376228215	1.1998129732316625	4.964391159045789e-06
6	6.4e-13	1.7056623593239795	0.57132471864795864	0.91902786560664196	0.91749328664864827	0.001534578957993693	0.37020883496398832	0.37171683537172195	-0.001508000407733634	0.36698877160432752	0.36586991600135843	0.0011188556029690933	0.1471473482709722	0.14823006084462023	-0.0010827125736480314	0.0010171010033000784	0.00099191522370934782	2.5185779590730564e-05	0.79583251816395673	0.79693977786905712	-0.0011072597051003941	1.199817905624492	1.1998081058492782	9.7997752137590766e-06
7	1.28e-12	1.7027428040402355	0.56548560808047066	0.9167956694409759	0.9146656703941155	0.002129999046860398	0.37218369998976597	0.37443748190975124	-0.0022537819199852649	0.36695368993489652	0.36474234501294911	0.0022113449219474113	0.14716189901867494	0.14931497651957953	-0.0021530775009045988	0.0010150489021728965	0.00096667833523393371	4.8370566938962735e-05	0.79582834270346525	0.79804620917778057	-0.002217866474315322	1.1998188857536429	1.1997976258478558	2.1259905787163191e-05
8	2.56e-12	1.6969036934727479	0.55380738694549558	0.91165085369858978	0.90901103396745042	0.002639819731139359	0.37666560137218169	0.37988207373548749	-0.0032164723633058001	0.36680102170847845	0.36248744072067629	0.0043135809878021569	0.14725557902505992	0.15148612330181374	-0.0042305442767538171	0.0010089268282237468	0.00091765359757580681	9.1273230647939988e-05	0.79581004865345328	0.80025921887671758	-0.0044491702232642982	1.1998290680375499	1.1997751005167452	5.396752080466527e-05
9	4.56e-12	1.6877800832110483	0.53556016642209636	0.90317779583418212	0.9001775384659203	0.0030002573682618161	0.384242897305273	0.38839922814267536	-0.0041563308374023555	0.36635703673748987	0.35896489997784803	0.007392136759641843	0.14760230807856933	0.15488251971397016	-0.0072802116354008239	0.00099800966752919273	0.00084542559651435605	0.00015258407101483669	0.795759843142404	0.80371716393132253	-0.0079573207889185316	1.1998731268420542	1.1997344548836588	0.00013867195839534219
