crossing	time_s	cml_p_V	cml_diff_V	EF_P_obs	EF_P_ref	EF_P_res	EF_N_obs	EF_N_ref	EF_N_res	GP_obs	GP_ref	GP_res	GN_obs	GN_ref	GN_res	E_CM_obs	E_CM_ref	E_CM_res	CM_N_obs	CM_N_ref	CM_N_res	CM_P_obs	CM_P_ref	CM_P_res
1	6.3260465173348558e-11	1.4200000000000002	-1.214306433183765e-17	0.64899759193571049	0.64218774427742964	0.0068098476582808543	0.63612597750053301	0.64218774902590636	-0.0060617715253733495	0.29672155373547904	0.25608605772517751	0.040635496010301531	0.2176439784235559	0.25608605961852932	-0.038442081194973415	0.0002458563758353338	0.00011656084048416176	0.00012929553535117206	0.79385929124296328	0.90438420097914551	-0.11052490973618223	1.2096165604917049	0.90435931769544231	0.30525724279626254
2	2.6326046517334855e-10	1.4200000000000002	-1.2663481374630692e-16	0.63690949396231933	0.64218774427742964	-0.0052782503151103111	0.6480266280236483	0.64218774902590636	0.0058388789977419364	0.21851699761379931	0.25608605772517751	-0.0375690601113782	0.29387040345188697	0.25608605961852932	0.037784343833357659	0.00030586063139687822	0.00011656084048416176	0.00018929979091271648	0.81702490330429567	0.90438420097914551	-0.087359297674849845	1.1842961522893076	0.90435931769544231	0.27993683459386531
3	4.6326046517334859e-10	1.4200000000000002	1.2663481374630692e-16	0.64889142577477821	0.64218774427742964	0.0067036814973485681	0.63617215686360129	0.64218774902590636	-0.0060155921623050723	0.29557403413301486	0.25608605772517751	0.039487976407837355	0.21815775631995529	0.25608605961852932	-0.037928303298574023	0.00025251464828170893	0.00011656084048416176	0.00013595380779754719	0.82416940442150044	0.90438420097914551	-0.080214796557645074	1.1804563058411766	0.90435931769544231	0.27609698814573425
4	6.6326046517334857e-10	1.4200000000000002	-1.5699247457590104e-16	0.63687564882216241	0.64218774427742964	-0.0053120954552672295	0.6480435736565906	0.64218774902590636	0.0058558246306842365	0.21815694637540411	0.25608605772517751	-0.037929111349773392	0.29390436084190008	0.25608605961852932	0.037818301223370765	0.00030264032918713595	0.00011656084048416176	0.00018607948870297421	0.83322709105680959	0.90438420097914551	-0.071157109922335926	1.1668046352633388	0.90435931769544231	0.26244531756789646
5	8.632604651733486e-10	1.4199999999999999	-2.8709673527416157e-16	0.64885940181134294	0.64218774427742942	0.006671657533913522	0.63618520518672739	0.64218774902590658	-0.0060025438391791974	0.29531864393761081	0.2560860577251774	0.039232586212433418	0.21815159895129849	0.25608605961852943	-0.03793446066723094	0.00025433543335719828	0.00011656084048416163	0.00013777459287303665	0.83450477672835432	0.90438420097914551	-0.069879424250791189	1.1614338288727277	0.90435931769543987	0.25707451117728786
6	1.0632604651733485e-09	1.4199999999999999	-6.5355706957426207e-16	0.63685815560208581	0.64218774427742942	-0.0053295886753436106	0.64805932991691972	0.64218774902590658	0.0058715808910131395	0.21805376267337101	0.2560860577251774	-0.038032295051806386	0.29393396125670757	0.25608605961852943	0.037847901638178139	0.00029942000268494163	0.00011656084048416163	0.00018285916220077999	0.83974288137475162	0.90438420097914551	-0.064641319604393899	1.1508355144994742	0.90435931769543987	0.24647619680403432
7	1.2632604651733485e-09	1.4200000000000006	7.1123662515049091e-16	0.64884049151494161	0.64218774427743008	0.0066527472375115249	0.63619767843996455	0.64218774902590592	-0.005990070585941365	0.29522057047964234	0.25608605772517767	0.039134512754464668	0.21814468888291952	0.25608605961852915	-0.037941370735609631	0.00025485618786159556	0.00011656084048416199	0.00013829534737743357	0.83901746467025029	0.90438420097914529	-0.065366736308895002	1.1449146192385744	0.90435931769544697	0.24055530154312743
8	1.4632604651733486e-09	1.4200000000000004	3.4520997171938461e-16	0.6368449006501069	0.64218774427742986	-0.0053428436273229574	0.64807474952049782	0.64218774902590614	0.0058870004945916765	0.21801249648420518	0.25608605772517756	-0.038073561240972387	0.2939659312325279	0.25608605961852926	0.037879871613998639	0.00029644404138589285	0.00011656084048416188	0.00017988320090173097	0.84280484219041651	0.9043842009791454	-0.061579358788728888	1.135900443553189	0.90435931769544464	0.23154112585774433
9	1.6632604651733485e-09	1.4200000000000006	7.1123662515049091e-16	0.64882615507702912	0.64218774427743008	0.0066384107995990371	0.63621001702715974	0.64218774902590592	-0.005977731998746183	0.29517429731313566	0.25608605772517767	0.039088239587957985	0.21814305547264878	0.25608605961852915	-0.037943004145880366	0.00025496495372718343	0.00011656084048416199	0.00013840411324302144	0.84121792429194198	0.90438420097914529	-0.063166276687203315	1.1298104520130356	0.90435931769544697	0.22545113431758868
10	1.8632604651733485e-09	1.4199999999999993	-1.556046957951196e-15	0.63683338258976596	0.64218774427742875	-0.0053543616876627897	0.64808973270601689	0.64218774902590725	0.0059019836801096348	0.21799314606203973	0.25608605772517717	-0.038092911663137441	0.29399825887328779	0.25608605961852965	0.037912199254758139	0.00029367641757009524	0.00011656084048416128	0.00017711557708593396	0.84438383301033393	0.90438420097914585	-0.060000367968811918	1.121871428825348	0.90435931769543287	0.21751211112991509
