 time                   v(gate)                v(gfet)                v(gate_core)           v(en_core)             v(vdd)                 v(vdda)                i(vdda)                i(vdd)                
 0.000000000000000e+00  2.306047364461977e-07  2.306047364461977e-07  2.880480832954190e-06  3.176587586348616e-06  1.199999978325321e+00  3.299999994123884e+00 -1.175223207638965e-08 -4.334935788108396e-08 
 5.000000000000001e-12  2.306047369726727e-07  2.306047364462503e-07  2.880480840510014e-06  3.176587584301227e-06  1.199999978325320e+00  3.299999994123886e+00 -1.175222852367597e-08 -4.334936054561922e-08 
 1.000000000000000e-11  2.306047368894060e-07  2.306047364462947e-07  2.880480843653332e-06  3.176587588901714e-06  1.199999978325319e+00  3.299999994123888e+00 -1.175222497096229e-08 -4.334936276606527e-08 
 2.000000000000000e-11  2.306047372779840e-07  2.306047364464299e-07  2.880480845266625e-06  3.176587599094949e-06  1.199999978325318e+00  3.299999994123906e+00 -1.175218855564708e-08 -4.334936454242211e-08 
 4.000000000000000e-11  2.306047366187891e-07  2.306047364465795e-07  2.880480831905785e-06  3.176587594369562e-06  1.199999978325318e+00  3.299999994123913e+00 -1.175217434479237e-08 -4.334936409833290e-08 
 8.000000000000001e-11  2.306047365771557e-07  2.306047364467617e-07  2.880480820439263e-06  3.176587587336993e-06  1.199999978325320e+00  3.299999994123919e+00 -1.175216279847291e-08 -4.334936098970843e-08 
 1.600000000000000e-10  2.306047366153197e-07  2.306047364470691e-07  2.880480825605269e-06  3.176587587704754e-06  1.199999978325322e+00  3.299999994123918e+00 -1.175216368665133e-08 -4.334935699290554e-08 
 3.200000000000000e-10  2.306047364487862e-07  2.306047364473178e-07  2.880480838538934e-06  3.176587584955218e-06  1.199999978325322e+00  3.299999994123926e+00 -1.175214769943977e-08 -4.334935699290554e-08 
 6.400000000000001e-10  2.306047364019487e-07  2.306047364473425e-07  2.880480836036379e-06  3.176587589612950e-06  1.199999978325322e+00  3.299999994123921e+00 -1.175215924575923e-08 -4.334935566063791e-08 
 1.140000000000000e-09  2.306047363499070e-07  2.306047364467554e-07  2.880480831275755e-06  3.176587585494283e-06  1.199999978325320e+00  3.299999994123904e+00 -1.175219210836076e-08 -4.334936054561922e-08 
 1.640000000000000e-09  2.306047363898056e-07  2.306047364461839e-07  2.880480831407919e-06  3.176587587410285e-06  1.199999978325321e+00  3.299999994123902e+00 -1.175219743743128e-08 -4.334935876926238e-08 
