 time                   v(gate)                v(gfet)                v(gate_core)           v(en_core)             v(vdd)                 v(vdda)                i(vdda)                i(vdd)                
 0.000000000000000e+00  6.935776782427188e-10  6.935776782427188e-10  7.051008223267915e-08  1.261786331055533e-08  1.199999999802322e+00  3.299999999875124e+00 -2.497531070844161e-10 -3.953570804071660e-10 
 5.000000000000000e-10  6.935775599681282e-10  6.935776770716832e-10  7.051009383598947e-08  1.261786335788589e-08  1.199999999802322e+00  3.299999999875097e+00 -2.498063977895981e-10 -3.953557481395364e-10 
 1.000000000000000e-09  6.935776640515368e-10  6.935776769427710e-10  7.051007858024240e-08  1.261786364143395e-08  1.199999999802323e+00  3.299999999875087e+00 -2.498268258932512e-10 -3.953535276934872e-10 
 2.000000000000000e-09  6.935776380306846e-10  6.935776763794560e-10  7.051008367221821e-08  1.261786280608207e-08  1.199999999802324e+00  3.299999999875075e+00 -2.498499185321634e-10 -3.953521954258576e-10 
 4.000000000000000e-09  6.935776588473663e-10  6.935776755284579e-10  7.051008285932004e-08  1.261786414799657e-08  1.199999999802323e+00  3.299999999875070e+00 -2.498596884947801e-10 -3.953535276934872e-10 
 8.000000000000000e-09  6.935776755440798e-10  6.935776748795565e-10  7.051008198998551e-08  1.261786293719903e-08  1.199999999802321e+00  3.299999999875086e+00 -2.498277140716709e-10 -3.953575244963758e-10 
 1.600000000000000e-08  6.935776737009361e-10  6.935776743026690e-10  7.051008207893816e-08  1.261786360206335e-08  1.199999999802321e+00  3.299999999875070e+00 -2.498614648516195e-10 -3.953584126747955e-10 
 3.200000000000000e-08  6.935776831877051e-10  6.935776753466429e-10  7.051008224973127e-08  1.261786331673563e-08  1.199999999802321e+00  3.299999999875070e+00 -2.498605766731998e-10 -3.953584126747955e-10 
 6.400000000000000e-08  6.935776260502506e-10  6.935776622724842e-10  7.051008209260480e-08  1.261786347146170e-08  1.199999999802323e+00  3.299999999875055e+00 -2.498898865610499e-10 -3.953548599611167e-10 
 1.140000000000000e-07  6.935776510682157e-10  6.935776532062754e-10  7.051008216008391e-08  1.261786345978536e-08  1.199999999802318e+00  3.299999999875066e+00 -2.498676821005574e-10 -3.953646299237334e-10 
 1.640000000000000e-07  6.935776592810472e-10  6.935776538229425e-10  7.051008207009328e-08  1.261786342732679e-08  1.199999999802323e+00  3.299999999875062e+00 -2.498756757063347e-10 -3.953548599611167e-10 
 2.140000000000000e-07  6.935776633739104e-10  6.935776577666631e-10  7.051008228330014e-08  1.261786337433800e-08  1.199999999802323e+00  3.299999999875062e+00 -2.498774520631741e-10 -3.953548599611167e-10 
 2.640000000000000e-07  6.935776058569851e-10  6.935776377915359e-10  7.051008218003120e-08  1.261786334533291e-08  1.199999999802323e+00  3.299999999875062e+00 -2.498774520631741e-10 -3.953548599611167e-10 
 3.140000000000000e-07  6.935776279476044e-10  6.935776298589380e-10  7.051008224372654e-08  1.261786349606732e-08  1.199999999802323e+00  3.299999999875064e+00 -2.498730111710756e-10 -3.953544158719069e-10 
 3.640000000000000e-07  6.935776990441619e-10  6.935776559465078e-10  7.051008213899353e-08  1.261786346277249e-08  1.199999999802323e+00  3.299999999875062e+00 -2.498765638847544e-10 -3.953544158719069e-10 
 4.140000000000000e-07  6.935776235023755e-10  6.935776481863688e-10  7.051008219998075e-08  1.261786363531289e-08  1.199999999802323e+00  3.299999999875064e+00 -2.498730111710756e-10 -3.953544158719069e-10 
 4.640000000000000e-07  6.935776440480067e-10  6.935776449789962e-10  7.051008225705870e-08  1.261786337982520e-08  1.199999999802323e+00  3.299999999875065e+00 -2.498703466358165e-10 -3.953548599611167e-10 
 5.140000000000001e-07  6.935776519355775e-10  6.935776471201542e-10  7.051008215590414e-08  1.261786333825502e-08  1.199999999802323e+00  3.299999999875064e+00 -2.498730111710756e-10 -3.953553040503266e-10 
 5.640000000000001e-07  6.935776571939580e-10  6.935776515779073e-10  7.051008221055552e-08  1.261786351280874e-08  1.199999999802323e+00  3.299999999875064e+00 -2.498721229926559e-10 -3.953539717826970e-10 
 6.140000000000002e-07  6.935776630757548e-10  6.935776570685969e-10  7.051008211932104e-08  1.261786347665294e-08  1.199999999802323e+00  3.299999999875065e+00 -2.498712348142362e-10 -3.953539717826970e-10 
 6.640000000000002e-07  6.935776690659718e-10  6.935776629656849e-10  7.051008217211336e-08  1.261786343127053e-08  1.199999999802323e+00  3.299999999875066e+00 -2.498694584573968e-10 -3.953548599611167e-10 
 7.140000000000003e-07  6.935776742430372e-10  6.935776686560434e-10  7.051008222968277e-08  1.261786340590743e-08  1.199999999802323e+00  3.299999999875061e+00 -2.498783402415938e-10 -3.953539717826970e-10 
 7.640000000000003e-07  6.935776806940401e-10  6.935776746093139e-10  7.051008213205157e-08  1.261786355278502e-08  1.199999999802323e+00  3.299999999875065e+00 -2.498703466358165e-10 -3.953539717826970e-10 
 8.140000000000004e-07  6.935776861692611e-10  6.935776804239468e-10  7.051008218761908e-08  1.261786351995960e-08  1.199999999802323e+00  3.299999999875064e+00 -2.498730111710756e-10 -3.953539717826970e-10 
 8.640000000000004e-07  6.935776281915499e-10  6.935776606939147e-10  7.051008209128598e-08  1.261786347479330e-08  1.199999999802323e+00  3.299999999875063e+00 -2.498747875279150e-10 -3.953544158719069e-10 
 9.140000000000005e-07  6.935776513663713e-10  6.935776530168909e-10  7.051008214354078e-08  1.261786344847621e-08  1.199999999802323e+00  3.299999999875063e+00 -2.498747875279150e-10 -3.953548599611167e-10 
 9.640000000000004e-07  6.935776583865804e-10  6.935776536293619e-10  7.051008220420438e-08  1.261786339953775e-08  1.199999999802323e+00  3.299999999875066e+00 -2.498694584573968e-10 -3.953544158719069e-10 
 1.014000000000000e-06  6.935776634823306e-10  6.935776576930436e-10  7.051008226421683e-08  1.261786354914783e-08  1.199999999802323e+00  3.299999999875064e+00 -2.498730111710756e-10 -3.953544158719069e-10 
