 time                   v(vdd_s)               v(vdda_s)              v(vdd)                 v(vdda)                i(vdd)                 i(vdda)               
 0.000000000000000e+00  1.200000000000000e+00  3.300000000000000e+00  1.199999999233949e+00  3.299999999165384e+00 -1.532103333090618e-09 -1.669232752021799e-09 
 1.000000000000000e-11  1.200000000000000e+00  3.300000000000000e+00  1.199999999233951e+00  3.299999999165383e+00 -1.532099336287729e-09 -1.669235416557058e-09 
 2.000000000000000e-11  1.200000000000000e+00  3.300000000000000e+00  1.199999999233952e+00  3.299999999165381e+00 -1.532096227663260e-09 -1.669238969270737e-09 
 4.000000000000000e-11  1.200000000000000e+00  3.300000000000000e+00  1.199999999233954e+00  3.299999999165389e+00 -1.532093119038791e-09 -1.669222982059182e-09 
 8.000000000000001e-11  1.200000000000000e+00  3.300000000000000e+00  1.199999999233955e+00  3.299999999165391e+00 -1.532089566325112e-09 -1.669218541167083e-09 
 1.600000000000000e-10  1.200000000000000e+00  3.300000000000000e+00  1.199999999233957e+00  3.299999999165381e+00 -1.532086901789853e-09 -1.669238081092317e-09 
 3.200000000000000e-10  1.200000000000000e+00  3.300000000000000e+00  1.199999999233958e+00  3.299999999165355e+00 -1.532084681343804e-09 -1.669291371797499e-09 
 6.400000000000001e-10  1.200000000000000e+00  3.300000000000000e+00  1.199999999233957e+00  3.299999999165327e+00 -1.532087345879063e-09 -1.669345550681101e-09 
 1.280000000000000e-09  1.200000000000000e+00  3.300000000000000e+00  1.199999999233952e+00  3.299999999165319e+00 -1.532096227663260e-09 -1.669363314249495e-09 
 2.280000000000000e-09  1.200000000000000e+00  3.300000000000000e+00  1.199999999233948e+00  3.299999999165313e+00 -1.532105109447457e-09 -1.669373972390531e-09 
 3.280000000000000e-09  1.200000000000000e+00  3.300000000000000e+00  1.199999999233947e+00  3.299999999165319e+00 -1.532105553536667e-09 -1.669362426071075e-09 
 4.280000000000000e-09  1.200000000000000e+00  3.300000000000000e+00  1.199999999233948e+00  3.299999999165322e+00 -1.532104665358247e-09 -1.669356208822137e-09 
 5.280000000000000e-09  1.200000000000000e+00  3.300000000000000e+00  1.199999999233948e+00  3.299999999165324e+00 -1.532103777179827e-09 -1.669352656108458e-09 
 6.280000000000000e-09  1.200000000000000e+00  3.300000000000000e+00  1.199999999233949e+00  3.299999999165323e+00 -1.532103333090618e-09 -1.669353544286878e-09 
 7.280000000000000e-09  1.200000000000000e+00  3.300000000000000e+00  1.199999999233949e+00  3.299999999165324e+00 -1.532103333090618e-09 -1.669352656108458e-09 
 8.280000000000000e-09  1.200000000000000e+00  3.300000000000000e+00  1.199999999233949e+00  3.299999999165325e+00 -1.532103333090618e-09 -1.669350879751619e-09 
 9.280000000000001e-09  1.200000000000000e+00  3.300000000000000e+00  1.199999999233949e+00  3.299999999165325e+00 -1.532103333090618e-09 -1.669350879751619e-09 
 1.028000000000000e-08  1.200000000000000e+00  3.300000000000000e+00  1.199999999233949e+00  3.299999999165325e+00 -1.532103333090618e-09 -1.669350879751619e-09 
 1.128000000000000e-08  1.200000000000000e+00  3.300000000000000e+00  1.199999999233949e+00  3.299999999165325e+00 -1.532103333090618e-09 -1.669350879751619e-09 
 1.228000000000000e-08  1.200000000000000e+00  3.300000000000000e+00  1.199999999233949e+00  3.299999999165325e+00 -1.532103333090618e-09 -1.669350879751619e-09 
 1.328000000000000e-08  1.200000000000000e+00  3.300000000000000e+00  1.199999999233949e+00  3.299999999165324e+00 -1.532103333090618e-09 -1.669351767930038e-09 
 1.428000000000000e-08  1.200000000000000e+00  3.300000000000000e+00  1.199999999233949e+00  3.299999999165325e+00 -1.532103333090618e-09 -1.669350879751619e-09 
 1.528000000000001e-08  1.200000000000000e+00  3.300000000000000e+00  1.199999999233949e+00  3.299999999165326e+00 -1.532103333090618e-09 -1.669349103394779e-09 
 1.628000000000000e-08  1.200000000000000e+00  3.300000000000000e+00  1.199999999233949e+00  3.299999999165327e+00 -1.532103333090618e-09 -1.669347327037940e-09 
 1.728000000000000e-08  1.200000000000000e+00  3.300000000000000e+00  1.199999999233949e+00  3.299999999165327e+00 -1.532103333090618e-09 -1.669346438859520e-09 
