Device;Net1;Net2;Capacitance [fF];Resistance [Ω]
C1;CTX_L10_0,CTX_L30_0,CTX_L30_1,CTX_L50_5,CTX_L8_0;CTX_L126_0;0.582;
C2;CTX_L10_0,CTX_L30_0,CTX_L30_1,CTX_L50_5,CTX_L8_0;CTX_L50_2;0.0;
C3;CTX_L10_0,CTX_L30_0,CTX_L30_1,CTX_L50_5,CTX_L8_0;CTX_L8_1;0.001;
C4;CTX_L10_0,CTX_L30_0,CTX_L30_1,CTX_L50_5,CTX_L8_0;CTX_L8_2;0.231;
C5;CTX_L10_0,CTX_L30_0,CTX_L30_1,CTX_L50_5,CTX_L8_0;N;0.0;
C6;CTX_L10_0,CTX_L30_0,CTX_L30_1,CTX_L50_5,CTX_L8_0;P;0.214;
C7;CTX_L10_0,CTX_L30_0,CTX_L30_1,CTX_L50_5,CTX_L8_0;VSUBS;1.711;
C8;CTX_L126_0;CTX_L50_0;0.01;
C9;CTX_L126_0;CTX_L50_1;0.071;
C10;CTX_L126_0;CTX_L50_2;0.297;
C11;CTX_L126_0;CTX_L8_1;0.095;
C12;CTX_L126_0;CTX_L8_2;0.179;
C13;CTX_L126_0;N;0.231;
C14;CTX_L126_0;P;0.49;
C15;CTX_L126_0;VSUBS;2.36;
C16;CTX_L50_0;CTX_L50_1;1.296;
C17;CTX_L50_0;CTX_L8_1;0.002;
C18;CTX_L50_0;VSUBS;0.687;
C19;CTX_L50_1;CTX_L50_2;0.272;
C20;CTX_L50_1;CTX_L8_1;0.007;
C21;CTX_L50_1;VSUBS;0.477;
C22;CTX_L50_2;CTX_L8_1;0.065;
C23;CTX_L50_2;N;1.296;
C24;CTX_L50_2;VSUBS;0.436;
C25;CTX_L8_1;CTX_L8_2;0.181;
C26;CTX_L8_1;N;0.017;
C27;CTX_L8_1;P;0.01;
C28;CTX_L8_1;VSUBS;1.651;
C29;CTX_L8_2;N;0.008;
C30;CTX_L8_2;P;0.046;
C31;CTX_L8_2;VSUBS;2.206;
C32;N;P;3.488;
C33;N;VSUBS;0.155;
C34;P;VSUBS;0.464;
