signal	crossing_idx	direction	t_cross_s	t_prev_s	sign_interval_s	max_abs_diff_interval_V	diff_before_V	diff_after_V
CLK	1	-1	2.101000000000e-09	NA	NA	NA	4.799999999998e-01	-3.600000000005e-01
CLK	2	+1	2.199000000000e-09	2.101000000000e-09	9.800000000000e-11	1.200000000000e+00	-4.799999999999e-01	3.599999999998e-01
CLK	3	-1	2.301000000000e-09	2.199000000000e-09	1.020000000000e-10	1.200000000000e+00	4.799999999998e-01	-3.600000000005e-01
CLK	4	+1	2.399000000000e-09	2.301000000000e-09	9.800000000000e-11	1.200000000000e+00	-4.799999999999e-01	3.599999999998e-01
CLK	5	-1	2.501000000000e-09	2.399000000000e-09	1.020000000000e-10	1.200000000000e+00	4.799999999993e-01	-3.600000000005e-01
CLK	6	+1	2.599000000000e-09	2.501000000000e-09	9.800000000000e-11	1.200000000000e+00	-4.799999999999e-01	3.600000000003e-01
CLK	7	-1	2.701000000000e-09	2.599000000000e-09	1.020000000000e-10	1.200000000000e+00	4.799999999998e-01	-3.600000000000e-01
CLK	8	+1	2.799000000000e-09	2.701000000000e-09	9.800000000000e-11	1.200000000000e+00	-4.799999999999e-01	3.600000000003e-01
CLK	9	-1	2.901000000000e-09	2.799000000000e-09	1.020000000000e-10	1.200000000000e+00	4.799999999998e-01	-3.600000000000e-01
CLK	10	+1	2.999000000000e-09	2.901000000000e-09	9.800000000000e-11	1.200000000000e+00	-4.799999999999e-01	3.600000000003e-01
CLK	11	-1	3.101000000000e-09	2.999000000000e-09	1.020000000000e-10	1.200000000000e+00	4.799999999993e-01	-3.600000000005e-01
CLK	12	+1	3.199000000000e-09	3.101000000000e-09	9.800000000000e-11	1.200000000000e+00	-4.799999999999e-01	3.599999999998e-01
CLK	13	-1	3.301000000000e-09	3.199000000000e-09	1.020000000000e-10	1.200000000000e+00	4.799999999998e-01	-3.600000000005e-01
CLK	14	+1	3.399000000000e-09	3.301000000000e-09	9.800000000000e-11	1.200000000000e+00	-4.799999999999e-01	3.599999999998e-01
CLK	15	-1	3.501000000000e-09	3.399000000000e-09	1.020000000000e-10	1.200000000000e+00	4.799999999998e-01	-3.600000000005e-01
CLK	16	+1	3.599000000000e-09	3.501000000000e-09	9.800000000000e-11	1.200000000000e+00	-4.799999999999e-01	3.599999999998e-01
CLK	17	-1	3.701000000000e-09	3.599000000000e-09	1.020000000000e-10	1.200000000000e+00	4.799999999993e-01	-3.600000000005e-01
CLK	18	+1	3.799000000000e-09	3.701000000000e-09	9.800000000000e-11	1.200000000000e+00	-4.799999999995e-01	3.600000000003e-01
CLK	19	-1	3.901000000000e-09	3.799000000000e-09	1.020000000000e-10	1.200000000000e+00	4.799999999998e-01	-3.600000000000e-01
CLK	20	+1	3.999000000000e-09	3.901000000000e-09	9.800000000000e-11	1.200000000000e+00	-4.799999999995e-01	3.600000000003e-01
STAGE1	1	-1	2.111505707985e-09	NA	NA	NA	1.537499830688e-02	-2.858158686285e-03
STAGE1	2	+1	2.311500796910e-09	2.111505707985e-09	1.999950889247e-10	5.759784700532e-01	-1.533820666207e-02	2.902423747531e-03
STAGE1	3	-1	2.511507577185e-09	2.311500796910e-09	2.000067802750e-10	5.761383768647e-01	1.540356991904e-02	-2.839408088649e-03
STAGE1	4	+1	2.711507987972e-09	2.511507577185e-09	2.000004107870e-10	5.761938675658e-01	-1.540644868521e-02	2.833592889183e-03
STAGE1	5	-1	2.911511419978e-09	2.711507987972e-09	2.000034320061e-10	5.762903066154e-01	1.544385363191e-02	-2.801660219589e-03
STAGE1	6	+1	3.111514603879e-09	2.911511419978e-09	2.000031839010e-10	5.764564560956e-01	-1.548046620226e-02	2.772154415760e-03
STAGE1	7	-1	3.311542152424e-09	3.111514603879e-09	2.000275485451e-10	5.768282893465e-01	1.573504093167e-02	-2.519881605564e-03
STAGE1	8	+1	3.511514816429e-09	3.311542152424e-09	1.999726640043e-10	5.765475013904e-01	-1.548676813711e-02	2.767876744904e-03
STAGE1	9	-1	3.711560441829e-09	3.511514816429e-09	2.000456254003e-10	5.771638292154e-01	1.590421191473e-02	-2.350064374592e-03
STAGE1	10	+1	3.911480163611e-09	3.711560441829e-09	1.999197217818e-10	5.760868523972e-01	-1.517242397401e-02	3.080996097060e-03
STAGE2	1	+1	2.117811865470e-09	NA	NA	NA	-1.686068366842e-01	6.223171132616e-04
STAGE2	2	-1	2.135647570224e-09	2.117811865470e-09	1.783570475368e-11	5.306726592365e-01	1.806292447553e-01	-1.695791538358e-02
STAGE2	3	+1	2.153403006377e-09	2.135647570224e-09	1.775543615366e-11	5.528429990839e-01	-1.623372268057e-01	4.266169138373e-02
STAGE2	4	-1	2.325821914867e-09	2.153403006377e-09	1.724189084901e-10	5.262149921544e-01	2.794721684056e-04	-1.937486870098e-01
STAGE2	5	+1	2.343997729211e-09	2.325821914867e-09	1.817581434365e-11	5.525186837256e-01	-1.814316501748e-02	1.849196705803e-01
STAGE2	6	-1	2.517807841957e-09	2.343997729211e-09	1.738101127458e-10	5.595832243867e-01	1.684231441450e-01	-9.334095922142e-04
STAGE2	7	+1	2.535645440249e-09	2.517807841957e-09	1.783759829267e-11	5.307107899497e-01	-1.804635686474e-01	1.713416573129e-02
STAGE2	8	-1	2.553403885880e-09	2.535645440249e-09	1.775844563050e-11	5.531666914630e-01	1.625313267588e-01	-4.255281507074e-02
STAGE2	9	+1	2.725822178569e-09	2.553403885880e-09	1.724182926894e-10	5.262633016417e-01	-3.387821945522e-04	1.937873433776e-01
STAGE2	10	-1	2.743995465973e-09	2.725822178569e-09	1.817328740409e-11	5.527433817817e-01	1.795496817039e-02	-1.851811132439e-01
STAGE2	11	+1	2.917803827314e-09	2.743995465973e-09	1.738083613404e-10	5.597426865798e-01	-1.681228137378e-01	1.244802271606e-03
STAGE2	12	-1	2.935640422336e-09	2.917803827314e-09	1.783659502206e-11	5.309007136934e-01	1.800869364632e-01	-1.760489129240e-02
STAGE2	13	+1	2.953404546243e-09	2.935640422336e-09	1.776412390681e-11	5.532761819260e-01	-1.626496434061e-01	4.245457099177e-02
STAGE2	14	-1	3.125810848608e-09	2.953404546243e-09	1.724063023650e-10	5.265875281320e-01	1.992318759633e-01	-7.508750244236e-04
STAGE2	15	+1	3.143985036613e-09	3.125810848608e-09	1.817418800509e-11	5.527106595959e-01	-1.693419099668e-02	1.862615433802e-01
STAGE2	16	-1	3.317797348090e-09	3.143985036613e-09	1.738123114770e-10	5.602222605644e-01	1.677594429518e-01	-1.769995631857e-03
STAGE2	17	+1	3.335637969412e-09	3.317797348090e-09	1.784062132200e-11	5.310312955097e-01	-1.798961416444e-01	1.782016645784e-02
STAGE2	18	-1	3.353413818497e-09	3.335637969412e-09	1.777584908525e-11	5.538884316181e-01	1.637282970120e-01	-4.149784042870e-02
STAGE2	19	+1	3.370121829598e-09	3.353413818497e-09	1.670801110122e-11	5.201402316649e-01	-1.971227324720e-02	1.101445005069e-01
STAGE2	20	-1	3.525810647134e-09	3.370121829598e-09	1.556888175354e-10	5.265622753040e-01	1.992671596152e-01	-7.421416455973e-04
STAGE2	21	+1	3.543983603293e-09	3.525810647134e-09	1.817295615950e-11	5.529217636441e-01	-1.681945677333e-02	1.863937345794e-01
STAGE2	22	-1	3.717792850421e-09	3.543983603293e-09	1.738092471274e-10	5.602201562134e-01	1.674259057504e-01	-2.125528765198e-03
STAGE2	23	+1	3.735634445733e-09	3.717792850421e-09	1.784159531226e-11	5.312768896852e-01	-1.796606091057e-01	1.814653733135e-02
STAGE2	24	-1	3.753418259697e-09	3.735634445733e-09	1.778381396454e-11	5.540950947037e-01	1.642488497323e-01	-4.101899078077e-02
STAGE2	25	+1	3.768942718973e-09	3.753418259697e-09	1.552445927586e-11	5.250913587112e-01	-1.031505333152e-01	8.026142268116e-02
STAGE2	26	-1	3.925815564102e-09	3.768942718973e-09	1.568728451289e-10	5.263125974022e-01	1.996991050362e-01	-2.178748545407e-04
STAGE2	27	+1	3.943987143191e-09	3.925815564102e-09	1.817157908893e-11	5.530016263498e-01	-1.719993801045e-02	1.858696642948e-01
